Iter 3000, task mwe, loss 1.6044363657633463, acc 0.82318, f1 0.00000, p 0.00000, r 0.00000
Iter 3000, task hyperlinks, loss 0.4738939603169759, acc 0.84362, f1 0.27642, p 0.80952, r 0.16667
Iter 3100, task mwe, loss 1.599390705426534, acc 0.82333, f1 0.00000, p 0.00000, r 0.00000
Iter 3100, task hyperlinks, loss 0.4724234441916148, acc 0.84108, f1 0.25820, p 0.78750, r 0.15441
Iter 3200, task mwe, loss 1.5939701477686563, acc 0.82333, f1 0.00000, p 0.00000, r 0.00000
Iter 3200, task hyperlinks, loss 0.47224661707878113, acc 0.84362, f1 0.29644, p 0.76531, r 0.18382
Iter 3300, task mwe, loss 1.5878806432088217, acc 0.82333, f1 0.00000, p 0.00000, r 0.00000
Iter 3300, task hyperlinks, loss 0.4696533779303233, acc 0.84193, f1 0.26829, p 0.78571, r 0.16176
Iter 3400, task mwe, loss 1.58212202390035, acc 0.82348, f1 0.00000, p 0.00000, r 0.00000
Iter 3400, task hyperlinks, loss 0.4682432810465495, acc 0.84193, f1 0.26531, p 0.79268, r 0.15931
Iter 3500, task mwe, loss 1.5776929219563802, acc 0.82348, f1 0.00000, p 0.00000, r 0.00000
Iter 3500, task hyperlinks, loss 0.46669766306877136, acc 0.84193, f1 0.25926, p 0.80769, r 0.15441
Iter 3600, task mwe, loss 1.5726159016291301, acc 0.82333, f1 0.00000, p 0.00000, r 0.00000
Iter 3600, task hyperlinks, loss 0.4648222128550212, acc 0.84277, f1 0.29249, p 0.75510, r 0.18137
Iter 3700, task mwe, loss 1.5690474112828572, acc 0.82394, f1 0.00000, p 0.00000, r 0.00000
Iter 3700, task hyperlinks, loss 0.4616037905216217, acc 0.84320, f1 0.28112, p 0.77778, r 0.17157
Iter 3800, task mwe, loss 1.5623343944549561, acc 0.82364, f1 0.00179, p 0.50000, r 0.00090
Iter 3800, task hyperlinks, loss 0.4605095287164052, acc 0.84235, f1 0.27126, p 0.77907, r 0.16422
Iter 3900, task mwe, loss 1.5564899126688638, acc 0.82394, f1 0.00000, p 0.00000, r 0.00000
Iter 3900, task hyperlinks, loss 0.4617029627164205, acc 0.84150, f1 0.30651, p 0.70175, r 0.19608
Iter 4000, task mwe, loss 1.5513113896052042, acc 0.82410, f1 0.00000, p 0.00000, r 0.00000
Iter 4000, task hyperlinks, loss 0.4583199918270111, acc 0.84277, f1 0.30291, p 0.72897, r 0.19118
Iter 4100, task mwe, loss 1.546633243560791, acc 0.82425, f1 0.00000, p 0.00000, r 0.00000
Iter 4100, task hyperlinks, loss 0.45650771260261536, acc 0.84277, f1 0.28343, p 0.76344, r 0.17402
Iter 4200, task mwe, loss 1.5407282352447509, acc 0.82455, f1 0.00179, p 0.50000, r 0.00090
Iter 4200, task hyperlinks, loss 0.4557059009869893, acc 0.84320, f1 0.28400, p 0.77174, r 0.17402
Iter 4300, task mwe, loss 1.5348195711771646, acc 0.82455, f1 0.00358, p 0.50000, r 0.00180
Iter 4300, task hyperlinks, loss 0.45464179913202923, acc 0.84362, f1 0.30948, p 0.73394, r 0.19608
Iter 4400, task mwe, loss 1.5303794225056966, acc 0.82455, f1 0.00357, p 0.33333, r 0.00180
Iter 4400, task hyperlinks, loss 0.45286592841148376, acc 0.84404, f1 0.31274, p 0.73636, r 0.19853
Iter 4500, task mwe, loss 1.525114687283834, acc 0.82455, f1 0.00357, p 0.33333, r 0.00180
Iter 4500, task hyperlinks, loss 0.45160436630249023, acc 0.84150, f1 0.28458, p 0.73469, r 0.17647
Iter 4600, task mwe, loss 1.5214386065800984, acc 0.82440, f1 0.00179, p 0.25000, r 0.00090
Iter 4600, task hyperlinks, loss 0.4489823281764984, acc 0.84489, f1 0.31599, p 0.73874, r 0.20098
Iter 4700, task mwe, loss 1.514707334836324, acc 0.82486, f1 0.00712, p 0.40000, r 0.00359
Iter 4700, task hyperlinks, loss 0.45034922162691754, acc 0.84446, f1 0.30137, p 0.74757, r 0.18873
Iter 4800, task mwe, loss 1.511455980936686, acc 0.82455, f1 0.00179, p 0.25000, r 0.00090
Iter 4800, task hyperlinks, loss 0.4496167798837026, acc 0.84320, f1 0.32584, p 0.69048, r 0.21324
Iter 4900, task mwe, loss 1.5056726694107057, acc 0.82486, f1 0.00536, p 0.42857, r 0.00270
Iter 4900, task hyperlinks, loss 0.44810519615809125, acc 0.84320, f1 0.32584, p 0.69048, r 0.21324
Iter 5000, task mwe, loss 1.4997384468714396, acc 0.82516, f1 0.00890, p 0.45455, r 0.00449
Iter 5000, task hyperlinks, loss 0.4469420810540517, acc 0.84446, f1 0.29862, p 0.75248, r 0.18627
Iter 5100, task mwe, loss 1.4952577431996663, acc 0.82501, f1 0.00888, p 0.38462, r 0.00449
Iter 5100, task hyperlinks, loss 0.4491439660390218, acc 0.84235, f1 0.32150, p 0.67717, r 0.21078
Iter 5200, task mwe, loss 1.4901827653249105, acc 0.82547, f1 0.00890, p 0.50000, r 0.00449
Iter 5200, task hyperlinks, loss 0.4483487010002136, acc 0.84446, f1 0.34909, p 0.67606, r 0.23529
Iter 5300, task mwe, loss 1.4841750224431356, acc 0.82577, f1 0.01065, p 0.42857, r 0.00539
Iter 5300, task hyperlinks, loss 0.44448795914649963, acc 0.84700, f1 0.31923, p 0.74107, r 0.20343
Iter 5400, task mwe, loss 1.4779743671417236, acc 0.82562, f1 0.01062, p 0.35294, r 0.00539
Iter 5400, task hyperlinks, loss 0.44492202003796893, acc 0.84700, f1 0.32955, p 0.72500, r 0.21324
Iter 5500, task mwe, loss 1.4729888916015625, acc 0.82577, f1 0.01063, p 0.37500, r 0.00539
Iter 5500, task hyperlinks, loss 0.4448561668395996, acc 0.84573, f1 0.33582, p 0.70312, r 0.22059
Iter 5600, task mwe, loss 1.4669044733047485, acc 0.82593, f1 0.01065, p 0.42857, r 0.00539
Iter 5600, task hyperlinks, loss 0.4414898057778676, acc 0.84658, f1 0.29644, p 0.76531, r 0.18382
Iter 5700, task mwe, loss 1.4615838448206584, acc 0.82562, f1 0.01062, p 0.35294, r 0.00539
Iter 5700, task hyperlinks, loss 0.44050700465838116, acc 0.84658, f1 0.34074, p 0.69697, r 0.22549
Iter 5800, task mwe, loss 1.4548163890838623, acc 0.82532, f1 0.01925, p 0.36667, r 0.00988
Iter 5800, task hyperlinks, loss 0.4400478998819987, acc 0.84742, f1 0.32700, p 0.72881, r 0.21078
Iter 5900, task mwe, loss 1.4481459538141885, acc 0.82547, f1 0.02941, p 0.39535, r 0.01527
Iter 5900, task hyperlinks, loss 0.4389595190684001, acc 0.84742, f1 0.33459, p 0.71774, r 0.21814
Iter 6000, task mwe, loss 1.443498428662618, acc 0.82608, f1 0.03290, p 0.45238, r 0.01707
Iter 6000, task hyperlinks, loss 0.43659551938374835, acc 0.84615, f1 0.34011, p 0.69173, r 0.22549
Iter 6100, task mwe, loss 1.4386459747950235, acc 0.82593, f1 0.02103, p 0.42857, r 0.01078
Iter 6100, task hyperlinks, loss 0.4366263449192047, acc 0.84742, f1 0.34201, p 0.70769, r 0.22549
Iter 6200, task mwe, loss 1.4324833234151204, acc 0.82547, f1 0.02435, p 0.37838, r 0.01258
Iter 6200, task hyperlinks, loss 0.43758469820022583, acc 0.84827, f1 0.31660, p 0.74545, r 0.20098
Iter 6300, task mwe, loss 1.427074948946635, acc 0.82608, f1 0.03120, p 0.43902, r 0.01617
Iter 6300, task hyperlinks, loss 0.43434734145800274, acc 0.84742, f1 0.34444, p 0.70455, r 0.22794
Iter 6400, task mwe, loss 1.4206548134485881, acc 0.82623, f1 0.03128, p 0.47368, r 0.01617
Iter 6400, task hyperlinks, loss 0.43531370162963867, acc 0.85038, f1 0.34766, p 0.73228, r 0.22794
Iter 6500, task mwe, loss 1.4159759283065796, acc 0.82639, f1 0.02957, p 0.45946, r 0.01527
Iter 6500, task hyperlinks, loss 0.43400312463442486, acc 0.84827, f1 0.35870, p 0.68750, r 0.24265
Iter 6600, task mwe, loss 1.4093692779541016, acc 0.82623, f1 0.04441, p 0.44828, r 0.02336
