Iter 1400, task gpos, loss 1.8918834924697876
Iter 1410, task gpos, loss 1.9264522790908813
Iter 1420, task gpos, loss 1.885263204574585
Iter 1430, task gpos, loss 1.8894885778427124
Iter 1440, task gpos, loss 1.919264793395996
Iter 1450, task gpos, loss 1.8963544368743896
Iter 1460, task gpos, loss 1.8726354837417603
Iter 1470, task gpos, loss 1.901179313659668
Iter 1480, task gpos, loss 1.8988441228866577
Iter 1490, task gpos, loss 1.862786889076233
Iter 1500, task gpos, loss 1.8605340719223022
Iter 1510, task gpos, loss 1.8898859024047852
Iter 1520, task gpos, loss 1.870848298072815
Iter 1530, task gpos, loss 1.9153668880462646
Iter 1540, task gpos, loss 1.837329626083374
Iter 1550, task gpos, loss 1.8603874444961548
Iter 1560, task gpos, loss 1.834467887878418
Iter 1570, task gpos, loss 1.8539243936538696
Iter 1580, task gpos, loss 1.8412185907363892
Iter 1590, task gpos, loss 1.8240550756454468
Iter 1600, task gpos, loss 1.8526960611343384
Iter 1610, task gpos, loss 1.8375985622406006
Iter 1620, task gpos, loss 1.8467130661010742
Iter 1630, task gpos, loss 1.8490965366363525
Iter 1640, task gpos, loss 1.794327735900879
Iter 1650, task gpos, loss 1.816939115524292
Iter 1660, task gpos, loss 1.8558580875396729
Iter 1670, task gpos, loss 1.796261191368103
Iter 1680, task gpos, loss 1.8178465366363525
Iter 1690, task gpos, loss 1.8153507709503174
Iter 1700, task gpos, loss 1.7939246892929077
Iter 1710, task gpos, loss 1.8050644397735596
Iter 1720, task gpos, loss 1.7852087020874023
Iter 1730, task gpos, loss 1.786622405052185
Iter 1740, task gpos, loss 1.779714822769165
Iter 1750, task gpos, loss 1.8081786632537842
Iter 1760, task gpos, loss 1.8185853958129883
Iter 1770, task gpos, loss 1.790087103843689
Iter 1780, task gpos, loss 1.8028513193130493
Iter 1790, task gpos, loss 1.7630586624145508
Iter 1800, task gpos, loss 1.820512056350708
Iter 1810, task gpos, loss 1.7736314535140991
Iter 1820, task gpos, loss 1.7466847896575928
Iter 1830, task gpos, loss 1.8354272842407227
Iter 1840, task gpos, loss 1.778259515762329
Iter 1850, task gpos, loss 1.781902551651001
Iter 1860, task gpos, loss 1.7958152294158936
Iter 1870, task gpos, loss 1.7267662286758423
Iter 1880, task gpos, loss 1.7485936880111694
Iter 1890, task gpos, loss 1.740804672241211
Iter 1900, task gpos, loss 1.712226152420044
Iter 1910, task gpos, loss 1.7464596033096313
Iter 1920, task gpos, loss 1.7606642246246338
Iter 1930, task gpos, loss 1.7396434545516968
Iter 1940, task gpos, loss 1.758143663406372
Iter 1950, task gpos, loss 1.7347110509872437
Iter 1960, task gpos, loss 1.7320072650909424
Iter 1970, task gpos, loss 1.7212568521499634
Iter 1980, task gpos, loss 1.7047884464263916
Iter 1990, task gpos, loss 1.7630693912506104
Iter 2000, task gpos, loss 1.7541614770889282
Iter 2010, task gpos, loss 1.7308744192123413
Iter 2020, task gpos, loss 1.7040588855743408
Iter 2030, task gpos, loss 1.7194188833236694
Iter 2040, task gpos, loss 1.7136526107788086
Iter 2050, task gpos, loss 1.705230474472046
Iter 2060, task gpos, loss 1.701700210571289
Iter 2070, task gpos, loss 1.6896812915802002
Iter 2080, task gpos, loss 1.6990878582000732
Iter 2090, task gpos, loss 1.7462488412857056
Iter 2100, task gpos, loss 1.6827332973480225
Iter 2110, task gpos, loss 1.694093942642212
Iter 2120, task gpos, loss 1.7184884548187256
Iter 2130, task gpos, loss 1.7032426595687866
Iter 2140, task gpos, loss 1.6672996282577515
Iter 2150, task gpos, loss 1.7064517736434937
Iter 2160, task gpos, loss 1.6918647289276123
Iter 2170, task gpos, loss 1.684943437576294
