Iter 3000, task fnt, loss 0.6080153055729405, acc 0.76344, f1 0.09300, p 0.57568, r 0.05059
Iter 3000, task hyperlinks, loss 0.5794930656750997, acc 0.83178, f1 0.16594, p 0.76000, r 0.09314
Iter 3100, task fnt, loss 0.6030386695938725, acc 0.76478, f1 0.11350, p 0.58896, r 0.06280
Iter 3100, task hyperlinks, loss 0.5765020052591959, acc 0.83178, f1 0.16228, p 0.77083, r 0.09069
Iter 3200, task fnt, loss 0.5979112329021576, acc 0.76493, f1 0.13171, p 0.57601, r 0.07436
Iter 3200, task hyperlinks, loss 0.5761521458625793, acc 0.83347, f1 0.19231, p 0.75000, r 0.11029
Iter 3300, task fnt, loss 0.5953348134794543, acc 0.76529, f1 0.13176, p 0.57797, r 0.07436
Iter 3300, task hyperlinks, loss 0.5726932187875112, acc 0.83559, f1 0.20426, p 0.77419, r 0.11765
Iter 3400, task fnt, loss 0.5945979827834714, acc 0.76524, f1 0.12258, p 0.58473, r 0.06847
Iter 3400, task hyperlinks, loss 0.5711727738380432, acc 0.83728, f1 0.21895, p 0.77612, r 0.12745
Iter 3500, task fnt, loss 0.5930111812007043, acc 0.76519, f1 0.11836, p 0.58414, r 0.06585
Iter 3500, task hyperlinks, loss 0.5697658459345499, acc 0.83728, f1 0.22869, p 0.75342, r 0.13480
Iter 3600, task fnt, loss 0.5866732924215255, acc 0.76514, f1 0.13994, p 0.56744, r 0.07981
Iter 3600, task hyperlinks, loss 0.5675070385138193, acc 0.83686, f1 0.21186, p 0.78125, r 0.12255
Iter 3700, task fnt, loss 0.5811106322273132, acc 0.76607, f1 0.16969, p 0.56404, r 0.09987
Iter 3700, task hyperlinks, loss 0.5659551322460175, acc 0.83686, f1 0.22500, p 0.75000, r 0.13235
Iter 3800, task fnt, loss 0.580310603303294, acc 0.76591, f1 0.15740, p 0.56775, r 0.09137
Iter 3800, task hyperlinks, loss 0.5637393991152445, acc 0.83812, f1 0.24797, p 0.72619, r 0.14951
Iter 3900, task fnt, loss 0.576408488135184, acc 0.76689, f1 0.16884, p 0.57323, r 0.09900
Iter 3900, task hyperlinks, loss 0.5612921615441641, acc 0.83812, f1 0.23237, p 0.75676, r 0.13725
Iter 4000, task fnt, loss 0.575957675133982, acc 0.76643, f1 0.15466, p 0.57263, r 0.08940
Iter 4000, task hyperlinks, loss 0.5597114165623983, acc 0.84024, f1 0.25662, p 0.75904, r 0.15441
Iter 4100, task fnt, loss 0.568451524742188, acc 0.76874, f1 0.20094, p 0.57645, r 0.12167
Iter 4100, task hyperlinks, loss 0.557234118382136, acc 0.83897, f1 0.24590, p 0.75000, r 0.14706
Iter 4200, task fnt, loss 0.5647668367432009, acc 0.76988, f1 0.21896, p 0.57959, r 0.13498
Iter 4200, task hyperlinks, loss 0.5591323574384054, acc 0.84066, f1 0.29400, p 0.69725, r 0.18627
