Iter 1510, task com, loss 0.600295901298523
Iter 1520, task com, loss 0.6095430254936218
Iter 1530, task com, loss 0.5940855741500854
Iter 1540, task com, loss 0.6015604138374329
Iter 1550, task com, loss 0.6226831674575806
Iter 1560, task com, loss 0.5868364572525024
Iter 1570, task com, loss 0.5965656042098999
Iter 1580, task com, loss 0.6045847535133362
Iter 1590, task com, loss 0.6154770255088806
Iter 1600, task com, loss 0.5916945934295654
Iter 1610, task com, loss 0.6034164428710938
Iter 1620, task com, loss 0.5887529253959656
Iter 1630, task com, loss 0.6056472659111023
Iter 1640, task com, loss 0.5960230827331543
Iter 1650, task com, loss 0.5921534299850464
Iter 1660, task com, loss 0.6063734889030457
Iter 1670, task com, loss 0.5809494256973267
Iter 1680, task com, loss 0.5967229604721069
Iter 1690, task com, loss 0.5911746025085449
Iter 1700, task com, loss 0.6113215684890747
Iter 1710, task com, loss 0.5968751907348633
Iter 1720, task com, loss 0.5911465287208557
Iter 1730, task com, loss 0.6022531390190125
Iter 1740, task com, loss 0.572647750377655
Iter 1750, task com, loss 0.5919796824455261
Iter 1760, task com, loss 0.5976076126098633
Iter 1770, task com, loss 0.5947402715682983
Iter 1780, task com, loss 0.6117149591445923
Iter 1790, task com, loss 0.5795494318008423
Iter 1800, task com, loss 0.5910395383834839
Iter 1810, task com, loss 0.600978672504425
Iter 1820, task com, loss 0.5919758081436157
Iter 1830, task com, loss 0.583384096622467
Iter 1840, task com, loss 0.5706437230110168
Iter 1850, task com, loss 0.594691812992096
Iter 1860, task com, loss 0.5905343294143677
Iter 1870, task com, loss 0.590915858745575
Iter 1880, task com, loss 0.5804142951965332
Iter 1890, task com, loss 0.5757493376731873
Iter 1900, task com, loss 0.5819960832595825
Iter 1910, task com, loss 0.582169234752655
Iter 1920, task com, loss 0.5880475044250488
Iter 1930, task com, loss 0.5953897833824158
Iter 1940, task com, loss 0.5976554751396179
Iter 1950, task com, loss 0.5961204767227173
Iter 1960, task com, loss 0.5887179970741272
Iter 1970, task com, loss 0.5815396904945374
Iter 1980, task com, loss 0.5927079916000366
Iter 1990, task com, loss 0.5938034057617188
Iter 2000, task com, loss 0.5601080656051636
Iter 2010, task com, loss 0.5703039169311523
Iter 2020, task com, loss 0.5722792744636536
Iter 2030, task com, loss 0.560881495475769
Iter 2040, task com, loss 0.5713976621627808
Iter 2050, task com, loss 0.5659608244895935
Iter 2060, task com, loss 0.5632323026657104
Iter 2070, task com, loss 0.5575685501098633
Iter 2080, task com, loss 0.5678909420967102
Iter 2090, task com, loss 0.5580288767814636
Iter 2100, task com, loss 0.576938807964325
Iter 2110, task com, loss 0.5697790384292603
Iter 2120, task com, loss 0.5731280446052551
Iter 2130, task com, loss 0.5483152866363525
Iter 2140, task com, loss 0.5762478113174438
Iter 2150, task com, loss 0.5774396061897278
Iter 2160, task com, loss 0.5729327201843262
Iter 2170, task com, loss 0.5627496242523193
Iter 2180, task com, loss 0.5776152014732361
Iter 2190, task com, loss 0.570608377456665
Iter 2200, task com, loss 0.5656723976135254
Iter 2210, task com, loss 0.5550647974014282
Iter 2220, task com, loss 0.575563907623291
Iter 2230, task com, loss 0.5502513647079468
Iter 2240, task com, loss 0.565578818321228
Iter 2250, task com, loss 0.5790064930915833
Iter 2260, task com, loss 0.5508673191070557
Iter 2270, task com, loss 0.5779086947441101
Iter 2280, task com, loss 0.5585111379623413
Iter 2290, task com, loss 0.5528426170349121
Iter 2300, task com, loss 0.5716062784194946
Iter 2310, task com, loss 0.5585260391235352
Iter 2320, task com, loss 0.5521202683448792
Iter 2330, task com, loss 0.5595191121101379
Iter 2340, task com, loss 0.5465182065963745
Iter 2350, task com, loss 0.5649858713150024
Iter 2360, task com, loss 0.5244032740592957
Iter 2370, task com, loss 0.585892379283905
Iter 2380, task com, loss 0.5502306222915649
Iter 2390, task com, loss 0.5652310848236084
Iter 2400, task com, loss 0.5466358065605164
Iter 2410, task com, loss 0.5500636100769043
Iter 2420, task com, loss 0.5494577288627625
Iter 2430, task com, loss 0.5657575726509094
Iter 2440, task com, loss 0.5619966387748718
Iter 2450, task com, loss 0.5512193441390991
Iter 2460, task com, loss 0.5554405450820923
Iter 2470, task com, loss 0.5739374756813049
Iter 2480, task com, loss 0.5610189437866211
Iter 2490, task com, loss 0.5621422529220581
Iter 2500, task com, loss 0.5536923408508301
Iter 2510, task com, loss 0.5545485019683838
