Iter 6200, task com, loss 0.45720357199509937, acc 0.83454, f1 0.31752, p 0.64444, r 0.21065
Iter 6300, task com, loss 0.4552917828162511, acc 0.83476, f1 0.32613, p 0.63732, r 0.21913
Iter 6400, task com, loss 0.4530946711699168, acc 0.83476, f1 0.32369, p 0.63929, r 0.21671
Iter 6500, task com, loss 0.4509228765964508, acc 0.83498, f1 0.32671, p 0.64184, r 0.21913
Iter 6600, task com, loss 0.4492490291595459, acc 0.83498, f1 0.31656, p 0.64794, r 0.20944
Iter 6700, task com, loss 0.4474974572658539, acc 0.83520, f1 0.33274, p 0.63699, r 0.22518
Iter 6800, task com, loss 0.44572340945402783, acc 0.83564, f1 0.32240, p 0.65074, r 0.21429
Iter 6900, task com, loss 0.44427192707856494, acc 0.83630, f1 0.34683, p 0.63548, r 0.23850
Iter 7000, task com, loss 0.4418758302927017, acc 0.83520, f1 0.33244, p 0.63481, r 0.22518
Iter 7100, task com, loss 0.44001343846321106, acc 0.83542, f1 0.33154, p 0.63793, r 0.22397
Iter 7200, task com, loss 0.43904059131940204, acc 0.83652, f1 0.35171, p 0.63407, r 0.24334
Iter 7300, task com, loss 0.4369344810644786, acc 0.83696, f1 0.34775, p 0.64169, r 0.23850
Iter 7400, task com, loss 0.43503013253211975, acc 0.83674, f1 0.34397, p 0.64238, r 0.23487
Iter 7500, task com, loss 0.43323996663093567, acc 0.83674, f1 0.35201, p 0.63608, r 0.24334
Iter 7600, task com, loss 0.4313146521647771, acc 0.83608, f1 0.33243, p 0.64460, r 0.22397
Iter 7700, task com, loss 0.429507851600647, acc 0.83630, f1 0.33750, p 0.64286, r 0.22881
Iter 7800, task com, loss 0.42763201395670575, acc 0.83608, f1 0.33838, p 0.63973, r 0.23002
Iter 7900, task com, loss 0.42583270370960236, acc 0.83652, f1 0.33662, p 0.64605, r 0.22760
Iter 8000, task com, loss 0.4244475116332372, acc 0.83740, f1 0.35408, p 0.64127, r 0.24455
Iter 8100, task com, loss 0.42287111282348633, acc 0.83784, f1 0.35808, p 0.64263, r 0.24818
Iter 8200, task com, loss 0.4212789287169774, acc 0.83850, f1 0.35336, p 0.65359, r 0.24213
Iter 8300, task com, loss 0.4199390957752864, acc 0.83740, f1 0.35857, p 0.63777, r 0.24939
Iter 8400, task com, loss 0.41820767521858215, acc 0.83784, f1 0.35013, p 0.64918, r 0.23971
Iter 8500, task com, loss 0.41695698102315265, acc 0.83894, f1 0.36522, p 0.64815, r 0.25424
Iter 8600, task com, loss 0.4153823604186376, acc 0.83828, f1 0.35190, p 0.65246, r 0.24092
Iter 8700, task com, loss 0.4137527445952098, acc 0.83828, f1 0.36094, p 0.64486, r 0.25061
Iter 8800, task com, loss 0.41289643943309784, acc 0.83740, f1 0.36955, p 0.62974, r 0.26150
Iter 8900, task com, loss 0.4108377695083618, acc 0.83806, f1 0.34813, p 0.65333, r 0.23729
Iter 9000, task com, loss 0.40994185705979663, acc 0.83784, f1 0.37233, p 0.63188, r 0.26392
Iter 9100, task com, loss 0.40790894627571106, acc 0.83784, f1 0.36442, p 0.63554, r 0.25545
Iter 9200, task com, loss 0.4069553315639496, acc 0.83872, f1 0.37681, p 0.63689, r 0.26755
Iter 9300, task com, loss 0.4049767355124156, acc 0.83828, f1 0.36505, p 0.63939, r 0.25545
Iter 9400, task com, loss 0.4035530388355255, acc 0.83806, f1 0.36583, p 0.63664, r 0.25666
Iter 9500, task com, loss 0.4020981838305791, acc 0.83828, f1 0.35614, p 0.64650, r 0.24576
Iter 9600, task com, loss 0.4007931798696518, acc 0.83850, f1 0.36537, p 0.64134, r 0.25545
Iter 9700, task com, loss 0.39975134531656903, acc 0.83872, f1 0.37221, p 0.63824, r 0.26271
Iter 9800, task com, loss 0.3986387699842453, acc 0.84025, f1 0.38507, p 0.64306, r 0.27482
Iter 9900, task com, loss 0.3966885209083557, acc 0.83982, f1 0.36395, p 0.65615, r 0.25182
Iter 10000, task com, loss 0.3954940587282181, acc 0.83872, f1 0.36897, p 0.64072, r 0.25908
Iter 10100, task com, loss 0.3946834107240041, acc 0.83916, f1 0.37819, p 0.63793, r 0.26877
Iter 10200, task com, loss 0.3937470267216365, acc 0.84004, f1 0.38579, p 0.64045, r 0.27603
Iter 10300, task com, loss 0.3921065678199132, acc 0.83960, f1 0.37990, p 0.64080, r 0.26998
Iter 10400, task com, loss 0.3907663623491923, acc 0.83938, f1 0.36992, p 0.64653, r 0.25908
Iter 10500, task com, loss 0.3895743836959203, acc 0.83916, f1 0.36411, p 0.64907, r 0.25303
Iter 10600, task com, loss 0.3884698549906413, acc 0.83938, f1 0.37532, p 0.64223, r 0.26513
Iter 10700, task com, loss 0.387193704644839, acc 0.83938, f1 0.37209, p 0.64478, r 0.26150
Iter 10800, task com, loss 0.3864886860052745, acc 0.84069, f1 0.38987, p 0.64345, r 0.27966
Iter 10900, task com, loss 0.38487475117047626, acc 0.84047, f1 0.37554, p 0.65075, r 0.26392
Iter 11000, task com, loss 0.3841119905312856, acc 0.84004, f1 0.38442, p 0.63944, r 0.27482
Iter 11100, task com, loss 0.3826901912689209, acc 0.83982, f1 0.37916, p 0.64348, r 0.26877
Iter 11200, task com, loss 0.3813549478848775, acc 0.84091, f1 0.37511, p 0.65559, r 0.26271
Iter 11300, task com, loss 0.3802322099606196, acc 0.84113, f1 0.37543, p 0.65758, r 0.26271
Iter 11400, task com, loss 0.3792850027481715, acc 0.84135, f1 0.38323, p 0.65306, r 0.27119
Iter 11500, task com, loss 0.37820568680763245, acc 0.84091, f1 0.36966, p 0.66044, r 0.25666
Iter 11600, task com, loss 0.37701693673928577, acc 0.84091, f1 0.38363, p 0.64841, r 0.27240
Iter 11700, task com, loss 0.37596424917380017, acc 0.84223, f1 0.38029, p 0.66465, r 0.26634
Iter 11800, task com, loss 0.3750258882840474, acc 0.84135, f1 0.38218, p 0.65396, r 0.26998
Iter 11900, task com, loss 0.37381071348985034, acc 0.84069, f1 0.38014, p 0.64912, r 0.26877
Iter 12000, task com, loss 0.37268033623695374, acc 0.84135, f1 0.38112, p 0.65487, r 0.26877
Iter 12100, task com, loss 0.3717930217583974, acc 0.84179, f1 0.38283, p 0.65782, r 0.26998
Iter 12200, task com, loss 0.3706358075141907, acc 0.84223, f1 0.37814, p 0.66667, r 0.26392
Iter 12300, task com, loss 0.3697831680377324, acc 0.84223, f1 0.39391, p 0.65266, r 0.28208
Iter 12400, task com, loss 0.3688754936059316, acc 0.84223, f1 0.39494, p 0.65181, r 0.28329
Iter 12500, task com, loss 0.3677349438269933, acc 0.84047, f1 0.37768, p 0.64897, r 0.26634
Iter 12600, task com, loss 0.3670416971047719, acc 0.84157, f1 0.37173, p 0.66563, r 0.25787
Iter 12700, task com, loss 0.36630454659461975, acc 0.84201, f1 0.40365, p 0.64286, r 0.29419
Iter 12800, task com, loss 0.36502453684806824, acc 0.84157, f1 0.39292, p 0.64722, r 0.28208
Iter 12900, task com, loss 0.36393851041793823, acc 0.84157, f1 0.37824, p 0.65964, r 0.26513
Iter 13000, task com, loss 0.36296361188093823, acc 0.84113, f1 0.37973, p 0.65385, r 0.26755
Iter 13100, task com, loss 0.36204766233762103, acc 0.84113, f1 0.37973, p 0.65385, r 0.26755
Iter 13200, task com, loss 0.361515740553538, acc 0.84245, f1 0.40134, p 0.64865, r 0.29056
Iter 13300, task com, loss 0.3602631986141205, acc 0.84267, f1 0.38202, p 0.66767, r 0.26755
Iter 13400, task com, loss 0.359726145863533, acc 0.84091, f1 0.39396, p 0.64033, r 0.28450
Iter 13500, task com, loss 0.35865601897239685, acc 0.84289, f1 0.38128, p 0.67073, r 0.26634
Iter 13600, task com, loss 0.35952990253766376, acc 0.84135, f1 0.41714, p 0.62774, r 0.31235
Iter 13700, task com, loss 0.35695764422416687, acc 0.84201, f1 0.38103, p 0.66168, r 0.26755
Iter 13800, task com, loss 0.3561450392007828, acc 0.84245, f1 0.39527, p 0.65363, r 0.28329
Iter 13900, task com, loss 0.3552837421496709, acc 0.84179, f1 0.39119, p 0.65070, r 0.27966
Iter 14000, task com, loss 0.3543990800778071, acc 0.84267, f1 0.39355, p 0.65722, r 0.28087
Iter 14100, task com, loss 0.3536390910545985, acc 0.84289, f1 0.39899, p 0.65470, r 0.28692
Iter 14200, task com, loss 0.352963129679362, acc 0.84267, f1 0.39560, p 0.65546, r 0.28329
Iter 14300, task com, loss 0.35235195358594257, acc 0.84223, f1 0.40399, p 0.64456, r 0.29419
Iter 14400, task com, loss 0.35147977868715924, acc 0.84355, f1 0.38120, p 0.67802, r 0.26513
Iter 14500, task com, loss 0.35060474773248035, acc 0.84355, f1 0.40101, p 0.65928, r 0.28814
Iter 14600, task com, loss 0.35037000974019367, acc 0.84443, f1 0.42002, p 0.65140, r 0.30993
Iter 14700, task com, loss 0.34968308607737225, acc 0.84355, f1 0.41385, p 0.64858, r 0.30387
Iter 14800, task com, loss 0.3482381651798884, acc 0.84465, f1 0.40068, p 0.67045, r 0.28571
Iter 14900, task com, loss 0.3479772359132767, acc 0.84399, f1 0.39142, p 0.67257, r 0.27603
Iter 15000, task com, loss 0.3467509498198827, acc 0.84443, f1 0.40438, p 0.66482, r 0.29056
Iter 15100, task com, loss 0.3460870385169983, acc 0.84443, f1 0.40237, p 0.66667, r 0.28814
Iter 15200, task com, loss 0.3457217464844386, acc 0.84443, f1 0.41132, p 0.65867, r 0.29903
Iter 15300, task com, loss 0.34463294347127277, acc 0.84487, f1 0.41591, p 0.65879, r 0.30387
Iter 15400, task com, loss 0.3437620649735133, acc 0.84575, f1 0.40543, p 0.67705, r 0.28935
Iter 15500, task com, loss 0.3430896947781245, acc 0.84443, f1 0.39830, p 0.67049, r 0.28329
Iter 15600, task com, loss 0.3425916830698649, acc 0.84509, f1 0.41528, p 0.66138, r 0.30266
Iter 15700, task com, loss 0.3418547014395396, acc 0.84597, f1 0.41472, p 0.67027, r 0.30024
