Iter 1330, task keysem17, loss 0.6438286900520325
Iter 1340, task keysem17, loss 0.6047202944755554
Iter 1350, task keysem17, loss 0.6177965402603149
Iter 1360, task keysem17, loss 0.5898386836051941
Iter 1370, task keysem17, loss 0.5813166499137878
Iter 1380, task keysem17, loss 0.6098165512084961
Iter 1390, task keysem17, loss 0.5982539057731628
Iter 1400, task keysem17, loss 0.5947639346122742
Iter 1410, task keysem17, loss 0.6153579950332642
Iter 1420, task keysem17, loss 0.6040598154067993
Iter 1430, task keysem17, loss 0.6204806566238403
Iter 1440, task keysem17, loss 0.6022073030471802
Iter 1450, task keysem17, loss 0.5884326696395874
Iter 1460, task keysem17, loss 0.6064422130584717
Iter 1470, task keysem17, loss 0.5926579236984253
Iter 1480, task keysem17, loss 0.5969573259353638
Iter 1490, task keysem17, loss 0.5902677178382874
Iter 1500, task keysem17, loss 0.5923881530761719
Iter 1510, task keysem17, loss 0.6305964589118958
Iter 1520, task keysem17, loss 0.5937718152999878
Iter 1530, task keysem17, loss 0.5770503878593445
Iter 1540, task keysem17, loss 0.5849832892417908
Iter 1550, task keysem17, loss 0.634684681892395
Iter 1560, task keysem17, loss 0.5866758823394775
Iter 1570, task keysem17, loss 0.5919314622879028
Iter 1580, task keysem17, loss 0.5963290333747864
Iter 1590, task keysem17, loss 0.6101592779159546
Iter 1600, task keysem17, loss 0.5832001566886902
Iter 1610, task keysem17, loss 0.5812023282051086
Iter 1620, task keysem17, loss 0.5689600706100464
Iter 1630, task keysem17, loss 0.6038187742233276
Iter 1640, task keysem17, loss 0.6147173643112183
Iter 1650, task keysem17, loss 0.6080349683761597
Iter 1660, task keysem17, loss 0.5980998873710632
Iter 1670, task keysem17, loss 0.5877865552902222
Iter 1680, task keysem17, loss 0.5924215316772461
Iter 1690, task keysem17, loss 0.6011802554130554
Iter 1700, task keysem17, loss 0.6042859554290771
Iter 1710, task keysem17, loss 0.582691490650177
Iter 1720, task keysem17, loss 0.5876480340957642
Iter 1730, task keysem17, loss 0.5664806365966797
Iter 1740, task keysem17, loss 0.5710880756378174
Iter 1750, task keysem17, loss 0.5952245593070984
