Iter 5900, task keysem17, loss 0.43317758043607074, acc 0.84410, f1 0.67463, p 0.72593, r 0.63010
Iter 6000, task keysem17, loss 0.4328270877401034, acc 0.84422, f1 0.69039, p 0.70420, r 0.67711
Iter 6100, task keysem17, loss 0.4287254512310028, acc 0.84386, f1 0.67789, p 0.71985, r 0.64055
Iter 6200, task keysem17, loss 0.42804519832134247, acc 0.84494, f1 0.69582, p 0.70034, r 0.69136
Iter 6300, task keysem17, loss 0.42530745764573413, acc 0.84543, f1 0.69100, p 0.70858, r 0.67426
Iter 6400, task keysem17, loss 0.42253214369217557, acc 0.84567, f1 0.67915, p 0.72698, r 0.63723
Iter 6500, task keysem17, loss 0.42339090009530383, acc 0.84458, f1 0.69847, p 0.69469, r 0.70228
Iter 6600, task keysem17, loss 0.42147937665383023, acc 0.84422, f1 0.69231, p 0.70107, r 0.68376
Iter 6700, task keysem17, loss 0.418790968755881, acc 0.84325, f1 0.68416, p 0.70740, r 0.66239
Iter 6800, task keysem17, loss 0.41645215451717377, acc 0.84398, f1 0.68838, p 0.70518, r 0.67236
Iter 6900, task keysem17, loss 0.41566558678944904, acc 0.84386, f1 0.68837, p 0.70462, r 0.67284
Iter 7000, task keysem17, loss 0.4129069869716962, acc 0.84301, f1 0.68085, p 0.71074, r 0.65337
Iter 7100, task keysem17, loss 0.4105237325032552, acc 0.84216, f1 0.68078, p 0.70669, r 0.65670
Iter 7200, task keysem17, loss 0.40995937089125317, acc 0.84398, f1 0.68899, p 0.70437, r 0.67426
Iter 7300, task keysem17, loss 0.4069632887840271, acc 0.84325, f1 0.68119, p 0.71148, r 0.65337
Iter 7400, task keysem17, loss 0.40551283210515976, acc 0.84325, f1 0.67784, p 0.71617, r 0.64340
Iter 7500, task keysem17, loss 0.40344230582316715, acc 0.84422, f1 0.68442, p 0.71179, r 0.65907
Iter 7600, task keysem17, loss 0.4022550731897354, acc 0.84313, f1 0.68196, p 0.70981, r 0.65622
Iter 7700, task keysem17, loss 0.40182913343111676, acc 0.84168, f1 0.68613, p 0.69740, r 0.67521
Iter 7800, task keysem17, loss 0.4029979904492696, acc 0.83962, f1 0.68768, p 0.68638, r 0.68898
Iter 7900, task keysem17, loss 0.39949755867322284, acc 0.84144, f1 0.66443, p 0.72594, r 0.61254
Iter 8000, task keysem17, loss 0.39803070823351544, acc 0.84216, f1 0.67792, p 0.71057, r 0.64815
Iter 8100, task keysem17, loss 0.39745104561249417, acc 0.84083, f1 0.68708, p 0.69238, r 0.68186
Iter 8200, task keysem17, loss 0.3968809222181638, acc 0.83950, f1 0.68869, p 0.68466, r 0.69278
Iter 8300, task keysem17, loss 0.3948056921362877, acc 0.83914, f1 0.68732, p 0.68473, r 0.68993
Iter 8400, task keysem17, loss 0.3895637442668279, acc 0.84301, f1 0.67555, p 0.71818, r 0.63770
Iter 8500, task keysem17, loss 0.3892427186171214, acc 0.84216, f1 0.68203, p 0.70502, r 0.66049
Iter 8600, task keysem17, loss 0.3867858946323395, acc 0.84156, f1 0.67772, p 0.70786, r 0.65005
Iter 8700, task keysem17, loss 0.39007874578237534, acc 0.83817, f1 0.68602, p 0.68216, r 0.68993
Iter 8800, task keysem17, loss 0.38745593279600143, acc 0.83902, f1 0.68342, p 0.68886, r 0.67806
Iter 8900, task keysem17, loss 0.38448582837979, acc 0.84071, f1 0.67527, p 0.70701, r 0.64625
Iter 9000, task keysem17, loss 0.3839586600661278, acc 0.83890, f1 0.68401, p 0.68762, r 0.68044
