Iter 2900, task keysem17, loss 0.6002426942189535, acc 0.83648, f1 0.66968, p 0.71093, r 0.63295
Iter 3000, task hyperlinks, loss 0.5202208757400513, acc 0.83601, f1 0.25000, p 0.70455, r 0.15196
Iter 3000, task keysem17, loss 0.5990850180387497, acc 0.83757, f1 0.68314, p 0.69733, r 0.66952
Iter 3100, task hyperlinks, loss 0.5165097812811533, acc 0.83728, f1 0.23918, p 0.75325, r 0.14216
Iter 3100, task keysem17, loss 0.5950695524613062, acc 0.83890, f1 0.68313, p 0.70413, r 0.66334
Iter 3200, task hyperlinks, loss 0.513153463602066, acc 0.83897, f1 0.24380, p 0.77632, r 0.14461
Iter 3200, task keysem17, loss 0.5923480242490768, acc 0.83841, f1 0.68322, p 0.70115, r 0.66619
Iter 3300, task hyperlinks, loss 0.511957456668218, acc 0.83855, f1 0.24330, p 0.76623, r 0.14461
Iter 3300, task keysem17, loss 0.5890259593725204, acc 0.83902, f1 0.68420, p 0.70215, r 0.66714
Iter 3400, task hyperlinks, loss 0.509702205657959, acc 0.83855, f1 0.24641, p 0.75949, r 0.14706
Iter 3400, task keysem17, loss 0.5881377557913462, acc 0.83866, f1 0.69048, p 0.69245, r 0.68851
Iter 3500, task hyperlinks, loss 0.5109128554662069, acc 0.84024, f1 0.28119, p 0.73196, r 0.17402
Iter 3500, task keysem17, loss 0.5840152353048325, acc 0.84035, f1 0.68982, p 0.70098, r 0.67901
Iter 3600, task hyperlinks, loss 0.507702648639679, acc 0.84193, f1 0.28628, p 0.75789, r 0.17647
Iter 3600, task keysem17, loss 0.5781652356187502, acc 0.84240, f1 0.68674, p 0.71517, r 0.66049
Iter 3700, task hyperlinks, loss 0.5056169132391611, acc 0.84235, f1 0.28343, p 0.76344, r 0.17402
Iter 3700, task keysem17, loss 0.5765110279122988, acc 0.84253, f1 0.68937, p 0.71204, r 0.66809
Iter 3800, task hyperlinks, loss 0.5035270154476166, acc 0.84277, f1 0.29249, p 0.75510, r 0.18137
Iter 3800, task keysem17, loss 0.5770527397592863, acc 0.84107, f1 0.69433, p 0.69732, r 0.69136
Iter 3900, task hyperlinks, loss 0.5022412439187368, acc 0.84277, f1 0.29249, p 0.75510, r 0.18137
Iter 3900, task keysem17, loss 0.573281891644001, acc 0.84156, f1 0.69208, p 0.70363, r 0.68091
Iter 4000, task hyperlinks, loss 0.49988263845443726, acc 0.84193, f1 0.27711, p 0.76667, r 0.16912
Iter 4000, task keysem17, loss 0.5670371527473131, acc 0.84398, f1 0.68769, p 0.72060, r 0.65764
Iter 4100, task hyperlinks, loss 0.4988422989845276, acc 0.84362, f1 0.31538, p 0.73214, r 0.20098
Iter 4100, task keysem17, loss 0.5656900356213251, acc 0.84470, f1 0.69374, p 0.71544, r 0.67331
Iter 4200, task hyperlinks, loss 0.49742501974105835, acc 0.84404, f1 0.29084, p 0.77660, r 0.17892
Iter 4200, task keysem17, loss 0.5671810358762741, acc 0.84386, f1 0.70116, p 0.70100, r 0.70133
Iter 4300, task hyperlinks, loss 0.4979298611481984, acc 0.84404, f1 0.33083, p 0.70968, r 0.21569
Iter 4300, task keysem17, loss 0.5643771986166636, acc 0.84398, f1 0.70048, p 0.70248, r 0.69848
Iter 4400, task hyperlinks, loss 0.493809441725413, acc 0.84573, f1 0.31721, p 0.75229, r 0.20098
Iter 4400, task keysem17, loss 0.558081346253554, acc 0.84531, f1 0.69216, p 0.72023, r 0.66619
Iter 4500, task hyperlinks, loss 0.49476624528567, acc 0.84235, f1 0.25462, p 0.78481, r 0.15196
Iter 4500, task keysem17, loss 0.55950811256965, acc 0.84325, f1 0.69845, p 0.70129, r 0.69563
Iter 4600, task hyperlinks, loss 0.4936404724915822, acc 0.84573, f1 0.34381, p 0.69925, r 0.22794
Iter 4600, task keysem17, loss 0.5558607131242752, acc 0.84458, f1 0.69754, p 0.70882, r 0.68661
Iter 4700, task hyperlinks, loss 0.49043189485867816, acc 0.84615, f1 0.31862, p 0.73451, r 0.20343
Iter 4700, task keysem17, loss 0.5503360206882159, acc 0.84555, f1 0.68972, p 0.72452, r 0.65812
Iter 4800, task hyperlinks, loss 0.4911491870880127, acc 0.84573, f1 0.32319, p 0.72034, r 0.20833
Iter 4800, task keysem17, loss 0.5515027716755867, acc 0.84736, f1 0.70569, p 0.71010, r 0.70133
Iter 4900, task hyperlinks, loss 0.4902664323647817, acc 0.84531, f1 0.30888, p 0.72727, r 0.19608
Iter 4900, task keysem17, loss 0.5470489660898844, acc 0.84761, f1 0.69966, p 0.71894, r 0.68139
Iter 5000, task hyperlinks, loss 0.488471120595932, acc 0.84615, f1 0.29644, p 0.76531, r 0.18382
Iter 5000, task keysem17, loss 0.5471362421909968, acc 0.84507, f1 0.69870, p 0.70720, r 0.69041
Iter 5100, task hyperlinks, loss 0.48828811446825665, acc 0.84446, f1 0.33333, p 0.68182, r 0.22059
Iter 5100, task keysem17, loss 0.5432286237676939, acc 0.84773, f1 0.69858, p 0.71932, r 0.67901
Iter 5200, task hyperlinks, loss 0.48628384868303937, acc 0.84531, f1 0.31939, p 0.71186, r 0.20588
Iter 5200, task keysem17, loss 0.5404860700170199, acc 0.84724, f1 0.69462, p 0.72279, r 0.66857
Iter 5300, task hyperlinks, loss 0.48448533813158673, acc 0.84658, f1 0.32638, p 0.72269, r 0.21078
Iter 5300, task keysem17, loss 0.539754052956899, acc 0.84736, f1 0.69806, p 0.71400, r 0.68281
Iter 5400, task hyperlinks, loss 0.48572100202242535, acc 0.84446, f1 0.33824, p 0.67647, r 0.22549
Iter 5400, task keysem17, loss 0.5391928603251775, acc 0.84700, f1 0.70226, p 0.70512, r 0.69943
Iter 5500, task hyperlinks, loss 0.48417550325393677, acc 0.84320, f1 0.31120, p 0.68908, r 0.20098
Iter 5500, task keysem17, loss 0.5366592432061831, acc 0.84615, f1 0.70019, p 0.70628, r 0.69421
Iter 5600, task hyperlinks, loss 0.4864068329334259, acc 0.84404, f1 0.36332, p 0.64780, r 0.25245
Iter 5600, task keysem17, loss 0.5314088215430578, acc 0.84930, f1 0.69552, p 0.72586, r 0.66762
Iter 5700, task hyperlinks, loss 0.48214321335156757, acc 0.84658, f1 0.31599, p 0.73874, r 0.20098
Iter 5700, task keysem17, loss 0.5343309467037519, acc 0.84809, f1 0.70585, p 0.70469, r 0.70703
Iter 5800, task hyperlinks, loss 0.4816688001155853, acc 0.84320, f1 0.31895, p 0.68000, r 0.20833
Iter 5800, task keysem17, loss 0.5307494352261225, acc 0.84942, f1 0.70489, p 0.71242, r 0.69753
Iter 5900, task hyperlinks, loss 0.4811971187591553, acc 0.84404, f1 0.33024, p 0.67939, r 0.21814
Iter 5900, task keysem17, loss 0.5276354228456815, acc 0.84821, f1 0.69888, p 0.71521, r 0.68329
Iter 6000, task hyperlinks, loss 0.4825880328814189, acc 0.84235, f1 0.32030, p 0.66667, r 0.21078
Iter 6000, task keysem17, loss 0.5241928646961848, acc 0.85002, f1 0.69595, p 0.72907, r 0.66572
Iter 6100, task hyperlinks, loss 0.48221391439437866, acc 0.84193, f1 0.31716, p 0.66406, r 0.20833
Iter 6100, task keysem17, loss 0.5228813538948694, acc 0.84978, f1 0.69741, p 0.72550, r 0.67142
Iter 6200, task hyperlinks, loss 0.4798118472099304, acc 0.84531, f1 0.31154, p 0.72321, r 0.19853
Iter 6200, task keysem17, loss 0.5220390930771828, acc 0.84797, f1 0.69572, p 0.71804, r 0.67474
Iter 6300, task hyperlinks, loss 0.4787055552005768, acc 0.84531, f1 0.36234, p 0.65806, r 0.25000
Iter 6300, task keysem17, loss 0.5207458411653837, acc 0.84954, f1 0.70201, p 0.71605, r 0.68851
Iter 6400, task hyperlinks, loss 0.47788212696711224, acc 0.84446, f1 0.32270, p 0.68800, r 0.21078
