Iter 1390, task fnt, loss 0.8015942573547363
Iter 1400, task fnt, loss 0.8063043355941772
Iter 1410, task fnt, loss 0.831042468547821
Iter 1420, task fnt, loss 0.8044593930244446
Iter 1430, task fnt, loss 0.7991517186164856
Iter 1440, task fnt, loss 0.8129032254219055
Iter 1450, task fnt, loss 0.7795050740242004
Iter 1460, task fnt, loss 0.8285369873046875
Iter 1470, task fnt, loss 0.8062852025032043
Iter 1480, task fnt, loss 0.8063098192214966
Iter 1490, task fnt, loss 0.8113953471183777
Iter 1500, task fnt, loss 0.8034495115280151
Iter 1510, task fnt, loss 0.7868890166282654
Iter 1520, task fnt, loss 0.7877532839775085
Iter 1530, task fnt, loss 0.7450124025344849
Iter 1540, task fnt, loss 0.8255497217178345
Iter 1550, task fnt, loss 0.7876161336898804
Iter 1560, task fnt, loss 0.7882348299026489
Iter 1570, task fnt, loss 0.8042298555374146
Iter 1580, task fnt, loss 0.8147706985473633
Iter 1590, task fnt, loss 0.7842098474502563
Iter 1600, task fnt, loss 0.818482518196106
Iter 1610, task fnt, loss 0.7798395752906799
Iter 1620, task fnt, loss 0.790590763092041
Iter 1630, task fnt, loss 0.8079950213432312
Iter 1640, task fnt, loss 0.7945374250411987
Iter 1650, task fnt, loss 0.8190402984619141
Iter 1660, task fnt, loss 0.8052994012832642
Iter 1670, task fnt, loss 0.7785014510154724
Iter 1680, task fnt, loss 0.8332297205924988
Iter 1690, task fnt, loss 0.7769232988357544
Iter 1700, task fnt, loss 0.7508201003074646
Iter 1710, task fnt, loss 0.7813049554824829
Iter 1720, task fnt, loss 0.7889484167098999
Iter 1730, task fnt, loss 0.7902843356132507
Iter 1740, task fnt, loss 0.7794080972671509
Iter 1750, task fnt, loss 0.7906662225723267
Iter 1760, task fnt, loss 0.7750996351242065
Iter 1770, task fnt, loss 0.7586478590965271
Iter 1780, task fnt, loss 0.751071572303772
Iter 1790, task fnt, loss 0.7526556849479675
Iter 1800, task fnt, loss 0.7686684131622314
Iter 1810, task fnt, loss 0.7932031154632568
Iter 1820, task fnt, loss 0.7739880084991455
Iter 1830, task fnt, loss 0.7276111841201782
Iter 1840, task fnt, loss 0.7504749298095703
Iter 1850, task fnt, loss 0.7577487230300903
Iter 1860, task fnt, loss 0.764519214630127
Iter 1870, task fnt, loss 0.7611550092697144
Iter 1880, task fnt, loss 0.745659351348877
Iter 1890, task fnt, loss 0.761146068572998
Iter 1900, task fnt, loss 0.7757822275161743
Iter 1910, task fnt, loss 0.7668918967247009
Iter 1920, task fnt, loss 0.7828903794288635
Iter 1930, task fnt, loss 0.7365716695785522
Iter 1940, task fnt, loss 0.7660474181175232
Iter 1950, task fnt, loss 0.7740850448608398
Iter 1960, task fnt, loss 0.7425368428230286
Iter 1970, task fnt, loss 0.7714005708694458
Iter 1980, task fnt, loss 0.7570973634719849
Iter 1990, task fnt, loss 0.7278170585632324
Iter 2000, task fnt, loss 0.7259362936019897
Iter 2010, task fnt, loss 0.7777365446090698
Iter 2020, task fnt, loss 0.7542952299118042
Iter 2030, task fnt, loss 0.7464584112167358
Iter 2040, task fnt, loss 0.7552767395973206
Iter 2050, task fnt, loss 0.762370228767395
Iter 2060, task fnt, loss 0.7242937088012695
Iter 2070, task fnt, loss 0.7474411725997925
Iter 2080, task fnt, loss 0.7536770105361938
Iter 2090, task fnt, loss 0.7578179240226746
Iter 2100, task fnt, loss 0.755902886390686
Iter 2110, task fnt, loss 0.7589200735092163
Iter 2120, task fnt, loss 0.7172079682350159
Iter 2130, task fnt, loss 0.7264681458473206
Iter 2140, task fnt, loss 0.7280992865562439
Iter 2150, task fnt, loss 0.73688805103302
Iter 2160, task fnt, loss 0.7447171211242676
Iter 2170, task fnt, loss 0.7607120275497437
Iter 2180, task fnt, loss 0.7296358346939087
Iter 2190, task fnt, loss 0.7240966558456421
Iter 2200, task fnt, loss 0.7527687549591064
Iter 2210, task fnt, loss 0.7757439613342285
Iter 2220, task fnt, loss 0.707439124584198
Iter 2230, task fnt, loss 0.7185508012771606
Iter 2240, task fnt, loss 0.7146881818771362
Iter 2250, task fnt, loss 0.7612846493721008
Iter 2260, task fnt, loss 0.7021377682685852
Iter 2270, task fnt, loss 0.751973032951355
Iter 2280, task fnt, loss 0.7319055795669556
Iter 2290, task fnt, loss 0.7099298238754272
Iter 2300, task fnt, loss 0.721516489982605
Iter 2310, task fnt, loss 0.7378405332565308
Iter 2320, task fnt, loss 0.7189093828201294
Iter 2330, task fnt, loss 0.7218936085700989
