Iter 3100, task com, loss 0.4992951105038325, acc 0.81894, f1 0.20263, p 0.62112, r 0.12107
Iter 3100, task mwe, loss 1.0246196190516155, acc 0.82303, f1 0.00000, p 0.00000, r 0.00000
Iter 3200, task com, loss 0.49731122454007465, acc 0.82004, f1 0.20000, p 0.63636, r 0.11864
Iter 3200, task mwe, loss 1.0189854860305787, acc 0.82333, f1 0.00000, p 0.00000, r 0.00000
Iter 3300, task com, loss 0.4954949915409088, acc 0.82048, f1 0.21557, p 0.61364, r 0.13075
Iter 3300, task mwe, loss 1.0134973764419555, acc 0.82364, f1 0.00000, p 0.00000, r 0.00000
Iter 3400, task com, loss 0.49323154985904694, acc 0.82004, f1 0.19097, p 0.62838, r 0.11259
Iter 3400, task mwe, loss 1.0095956285794576, acc 0.82379, f1 0.00000, p 0.00000, r 0.00000
Iter 3500, task com, loss 0.4912386933962504, acc 0.82070, f1 0.21400, p 0.61494, r 0.12954
Iter 3500, task mwe, loss 1.0041522622108459, acc 0.82379, f1 0.00000, p 0.00000, r 0.00000
Iter 3600, task com, loss 0.4891362190246582, acc 0.82092, f1 0.21692, p 0.60894, r 0.13196
Iter 3600, task mwe, loss 0.9997659881909688, acc 0.82379, f1 0.00000, p 0.00000, r 0.00000
Iter 3700, task com, loss 0.48736000061035156, acc 0.82224, f1 0.22398, p 0.61749, r 0.13680
Iter 3700, task mwe, loss 0.994959565003713, acc 0.82379, f1 0.00000, p 0.00000, r 0.00000
Iter 3800, task com, loss 0.48576578001181286, acc 0.82246, f1 0.23054, p 0.61905, r 0.14165
Iter 3800, task mwe, loss 0.9901809215545654, acc 0.82394, f1 0.00000, p 0.00000, r 0.00000
Iter 3900, task com, loss 0.48395683368047077, acc 0.82312, f1 0.23228, p 0.62105, r 0.14286
Iter 3900, task mwe, loss 0.9841687043507894, acc 0.82379, f1 0.00000, p 0.00000, r 0.00000
Iter 4000, task com, loss 0.4825178384780884, acc 0.82312, f1 0.21400, p 0.61494, r 0.12954
Iter 4000, task mwe, loss 0.9787390033404032, acc 0.82394, f1 0.00000, p 0.00000, r 0.00000
Iter 4100, task com, loss 0.48094210028648376, acc 0.82773, f1 0.26255, p 0.64762, r 0.16465
Iter 4100, task mwe, loss 0.9745597084363301, acc 0.82394, f1 0.00000, p 0.00000, r 0.00000
Iter 4200, task com, loss 0.4790598253409068, acc 0.82685, f1 0.25412, p 0.63902, r 0.15860
Iter 4200, task mwe, loss 0.9701668898264567, acc 0.82410, f1 0.00000, p 0.00000, r 0.00000
Iter 4300, task com, loss 0.4772510826587677, acc 0.82795, f1 0.26112, p 0.64904, r 0.16344
Iter 4300, task mwe, loss 0.9655095895131429, acc 0.82410, f1 0.00000, p 0.00000, r 0.00000
Iter 4400, task com, loss 0.47576725979646045, acc 0.82619, f1 0.24438, p 0.63452, r 0.15133
Iter 4400, task mwe, loss 0.9601385474205018, acc 0.82410, f1 0.00000, p 0.00000, r 0.00000
Iter 4500, task com, loss 0.4740714778502782, acc 0.82795, f1 0.25800, p 0.64878, r 0.16102
Iter 4500, task mwe, loss 0.9570757945378622, acc 0.82425, f1 0.00000, p 0.00000, r 0.00000
Iter 4600, task com, loss 0.4723687618970871, acc 0.82839, f1 0.25969, p 0.65049, r 0.16223
Iter 4600, task mwe, loss 0.9519240260124207, acc 0.82425, f1 0.00000, p 0.00000, r 0.00000
Iter 4700, task com, loss 0.47109854221343994, acc 0.82927, f1 0.28166, p 0.64224, r 0.18039
Iter 4700, task mwe, loss 0.9474522471427917, acc 0.82440, f1 0.00000, p 0.00000, r 0.00000
Iter 4800, task com, loss 0.46918538709481555, acc 0.82729, f1 0.24510, p 0.64433, r 0.15133
Iter 4800, task mwe, loss 0.942138425509135, acc 0.82440, f1 0.00000, p 0.00000, r 0.00000
Iter 4900, task com, loss 0.46780339380105335, acc 0.82883, f1 0.26448, p 0.65238, r 0.16586
Iter 4900, task mwe, loss 0.939264158407847, acc 0.82471, f1 0.00000, p 0.00000, r 0.00000
Iter 5000, task com, loss 0.4663099596897761, acc 0.82817, f1 0.25195, p 0.65152, r 0.15617
Iter 5000, task mwe, loss 0.9334663987159729, acc 0.82471, f1 0.00000, p 0.00000, r 0.00000
Iter 5100, task com, loss 0.4645617703596751, acc 0.82927, f1 0.27316, p 0.64706, r 0.17312
Iter 5100, task mwe, loss 0.9298551400502523, acc 0.82471, f1 0.00000, p 0.00000, r 0.00000
Iter 5200, task com, loss 0.46304506063461304, acc 0.82905, f1 0.26163, p 0.65534, r 0.16344
Iter 5200, task mwe, loss 0.924500580628713, acc 0.82486, f1 0.00000, p 0.00000, r 0.00000
Iter 5300, task com, loss 0.4617583354314168, acc 0.82905, f1 0.26448, p 0.65238, r 0.16586
Iter 5300, task mwe, loss 0.9191533128420512, acc 0.82501, f1 0.00179, p 0.33333, r 0.00090
Iter 5400, task com, loss 0.4604750821987788, acc 0.82905, f1 0.26731, p 0.64953, r 0.16828
Iter 5400, task mwe, loss 0.916377854347229, acc 0.82501, f1 0.00000, p 0.00000, r 0.00000
Iter 5500, task com, loss 0.4589788268009822, acc 0.82949, f1 0.26756, p 0.65258, r 0.16828
Iter 5500, task mwe, loss 0.9111459414164226, acc 0.82501, f1 0.00000, p 0.00000, r 0.00000
Iter 5600, task com, loss 0.4579271227121353, acc 0.83059, f1 0.28382, p 0.64935, r 0.18160
Iter 5600, task mwe, loss 0.9068717757860819, acc 0.82516, f1 0.00000, p 0.00000, r 0.00000
Iter 5700, task com, loss 0.45651554067929584, acc 0.82949, f1 0.26731, p 0.64953, r 0.16828
Iter 5700, task mwe, loss 0.9010066946347555, acc 0.82547, f1 0.00358, p 0.50000, r 0.00180
Iter 5800, task com, loss 0.4553137967983882, acc 0.83015, f1 0.28329, p 0.64378, r 0.18160
Iter 5800, task mwe, loss 0.8970231095949809, acc 0.82547, f1 0.00358, p 0.40000, r 0.00180
Iter 5900, task com, loss 0.45397630830605823, acc 0.83103, f1 0.28436, p 0.65502, r 0.18160
Iter 5900, task mwe, loss 0.8917653878529866, acc 0.82593, f1 0.00714, p 0.57143, r 0.00359
Iter 6000, task com, loss 0.45281653106212616, acc 0.83081, f1 0.28544, p 0.65086, r 0.18281
Iter 6000, task mwe, loss 0.8875855565071106, acc 0.82608, f1 0.00714, p 0.57143, r 0.00359
Iter 6100, task com, loss 0.451458677649498, acc 0.83103, f1 0.28027, p 0.65919, r 0.17797
Iter 6100, task mwe, loss 0.8830248912175497, acc 0.82608, f1 0.00536, p 0.50000, r 0.00270
Iter 6200, task com, loss 0.45046109954516095, acc 0.83191, f1 0.29588, p 0.65289, r 0.19128
Iter 6200, task mwe, loss 0.8786230723063151, acc 0.82623, f1 0.01244, p 0.58333, r 0.00629
Iter 6300, task com, loss 0.448954572280248, acc 0.83191, f1 0.28733, p 0.65517, r 0.18402
Iter 6300, task mwe, loss 0.8744210958480835, acc 0.82654, f1 0.01246, p 0.63636, r 0.00629
Iter 6400, task com, loss 0.4483565539121628, acc 0.83278, f1 0.30427, p 0.65079, r 0.19855
Iter 6400, task mwe, loss 0.8699378569920858, acc 0.82684, f1 0.01421, p 0.61538, r 0.00719
Iter 6500, task com, loss 0.4467877397934596, acc 0.83147, f1 0.28544, p 0.65086, r 0.18281
Iter 6500, task mwe, loss 0.8656810323397318, acc 0.82700, f1 0.01422, p 0.66667, r 0.00719
Iter 6600, task com, loss 0.44573649267355603, acc 0.83081, f1 0.27507, p 0.65158, r 0.17433
Iter 6600, task mwe, loss 0.8613219062487284, acc 0.82700, f1 0.01421, p 0.61538, r 0.00719
Iter 6700, task com, loss 0.4447852820158005, acc 0.83169, f1 0.28841, p 0.65106, r 0.18523
Iter 6700, task mwe, loss 0.856769613424937, acc 0.82700, f1 0.01421, p 0.61538, r 0.00719
Iter 6800, task com, loss 0.44345955550670624, acc 0.83191, f1 0.29268, p 0.65000, r 0.18886
Iter 6800, task mwe, loss 0.8525020003318786, acc 0.82715, f1 0.01596, p 0.60000, r 0.00809
Iter 6900, task com, loss 0.4422872265179952, acc 0.83169, f1 0.28436, p 0.65502, r 0.18160
Iter 6900, task mwe, loss 0.8477063457171122, acc 0.82715, f1 0.01943, p 0.57895, r 0.00988
Iter 7000, task com, loss 0.4417542864878972, acc 0.83125, f1 0.29842, p 0.63636, r 0.19492
Iter 7000, task mwe, loss 0.842878540356954, acc 0.82715, f1 0.01768, p 0.55556, r 0.00898
Iter 7100, task com, loss 0.44004092613856, acc 0.83191, f1 0.28706, p 0.65236, r 0.18402
Iter 7100, task mwe, loss 0.8388658841451009, acc 0.82730, f1 0.02460, p 0.56000, r 0.01258
Iter 7200, task com, loss 0.43946751952171326, acc 0.83191, f1 0.30056, p 0.64286, r 0.19613
Iter 7200, task mwe, loss 0.8352118094762166, acc 0.82700, f1 0.01593, p 0.52941, r 0.00809
Iter 7300, task com, loss 0.43807996809482574, acc 0.83212, f1 0.28598, p 0.65652, r 0.18281
Iter 7300, task mwe, loss 0.8295448382695516, acc 0.82730, f1 0.02800, p 0.53333, r 0.01438
Iter 7400, task com, loss 0.437049259742101, acc 0.83169, f1 0.28814, p 0.64831, r 0.18523
Iter 7400, task mwe, loss 0.8250746806462605, acc 0.82730, f1 0.02972, p 0.54839, r 0.01527
Iter 7500, task com, loss 0.4361812074979146, acc 0.83234, f1 0.29428, p 0.65145, r 0.19007
Iter 7500, task mwe, loss 0.8206392566363017, acc 0.82715, f1 0.02629, p 0.53571, r 0.01348
Iter 7600, task com, loss 0.4351387272278468, acc 0.83234, f1 0.29560, p 0.65021, r 0.19128
Iter 7600, task mwe, loss 0.8165331403414409, acc 0.82715, f1 0.02800, p 0.53333, r 0.01438
Iter 7700, task com, loss 0.4342110256354014, acc 0.83191, f1 0.29505, p 0.64490, r 0.19128
Iter 7700, task mwe, loss 0.8123089234034221, acc 0.82715, f1 0.03139, p 0.52941, r 0.01617
Iter 7800, task com, loss 0.43330372869968414, acc 0.83300, f1 0.30684, p 0.64844, r 0.20097
Iter 7800, task mwe, loss 0.8087042450904847, acc 0.82684, f1 0.02795, p 0.50000, r 0.01438
Iter 7900, task com, loss 0.43166907628377277, acc 0.83234, f1 0.28868, p 0.65385, r 0.18523
Iter 7900, task mwe, loss 0.8047205885251363, acc 0.82700, f1 0.02797, p 0.51613, r 0.01438
Iter 8000, task com, loss 0.43059757848580676, acc 0.83191, f1 0.28544, p 0.65086, r 0.18281
Iter 8000, task mwe, loss 0.8002514322598775, acc 0.82730, f1 0.03310, p 0.54286, r 0.01707
Iter 8100, task com, loss 0.42989711463451385, acc 0.83520, f1 0.31705, p 0.66409, r 0.20823
Iter 8100, task mwe, loss 0.7963399926821391, acc 0.82700, f1 0.03806, p 0.51163, r 0.01977
Iter 8200, task com, loss 0.42870955169200897, acc 0.83322, f1 0.29644, p 0.65833, r 0.19128
Iter 8200, task mwe, loss 0.7914277950922648, acc 0.82730, f1 0.04475, p 0.53061, r 0.02336
Iter 8300, task com, loss 0.4281485080718994, acc 0.83432, f1 0.30955, p 0.66008, r 0.20218
Iter 8300, task mwe, loss 0.7873313228289286, acc 0.82745, f1 0.03983, p 0.54762, r 0.02066
Iter 8400, task com, loss 0.42720099290211994, acc 0.83388, f1 0.30769, p 0.65613, r 0.20097
Iter 8400, task mwe, loss 0.784291124343872, acc 0.82745, f1 0.03481, p 0.55556, r 0.01797
Iter 8500, task com, loss 0.42561882237593335, acc 0.83366, f1 0.29831, p 0.66250, r 0.19249
Iter 8500, task mwe, loss 0.7792865832646688, acc 0.82791, f1 0.04651, p 0.56250, r 0.02426
Iter 8600, task com, loss 0.4249885429938634, acc 0.83366, f1 0.30093, p 0.65984, r 0.19492
Iter 8600, task mwe, loss 0.7746957937876383, acc 0.82745, f1 0.05451, p 0.52459, r 0.02875
Iter 8700, task com, loss 0.4241924931605657, acc 0.83454, f1 0.31111, p 0.66142, r 0.20339
Iter 8700, task mwe, loss 0.7712426622708638, acc 0.82776, f1 0.04647, p 0.55102, r 0.02426
Iter 8800, task com, loss 0.423214058081309, acc 0.83454, f1 0.31238, p 0.66016, r 0.20460
Iter 8800, task mwe, loss 0.7675090591112773, acc 0.82791, f1 0.03823, p 0.57895, r 0.01977
Iter 8900, task com, loss 0.4222933351993561, acc 0.83432, f1 0.29915, p 0.67089, r 0.19249
Iter 8900, task mwe, loss 0.7616574128468832, acc 0.82837, f1 0.05137, p 0.54545, r 0.02695
Iter 9000, task com, loss 0.4216860930124919, acc 0.83476, f1 0.31012, p 0.66534, r 0.20218
Iter 9000, task mwe, loss 0.7572015047073364, acc 0.82852, f1 0.04483, p 0.55319, r 0.02336
Iter 9100, task com, loss 0.4208552936712901, acc 0.83432, f1 0.29783, p 0.67234, r 0.19128
Iter 9100, task mwe, loss 0.7525017817815145, acc 0.82837, f1 0.04811, p 0.54902, r 0.02516
Iter 9200, task com, loss 0.42000020543734234, acc 0.83432, f1 0.29887, p 0.66807, r 0.19249
Iter 9200, task mwe, loss 0.7472992261250814, acc 0.82837, f1 0.05772, p 0.52308, r 0.03055
Iter 9300, task com, loss 0.41980529328187305, acc 0.83498, f1 0.32270, p 0.65314, r 0.21429
Iter 9300, task mwe, loss 0.7430034359296163, acc 0.82822, f1 0.06066, p 0.48649, r 0.03235
Iter 9400, task com, loss 0.4189612865447998, acc 0.83454, f1 0.31714, p 0.65283, r 0.20944
Iter 9400, task mwe, loss 0.7382084806760152, acc 0.82868, f1 0.06706, p 0.50000, r 0.03594
Iter 9500, task com, loss 0.417650173107783, acc 0.83476, f1 0.30467, p 0.66803, r 0.19734
Iter 9500, task mwe, loss 0.7339725295702616, acc 0.82852, f1 0.06839, p 0.47674, r 0.03684
Iter 9600, task com, loss 0.417223001519839, acc 0.83476, f1 0.31336, p 0.65637, r 0.20581
Iter 9600, task mwe, loss 0.7300182104110717, acc 0.82898, f1 0.06873, p 0.51250, r 0.03684
Iter 9700, task com, loss 0.4162885397672653, acc 0.83432, f1 0.31025, p 0.65370, r 0.20339
Iter 9700, task mwe, loss 0.7253680388132732, acc 0.82837, f1 0.07137, p 0.46739, r 0.03863
Iter 9800, task com, loss 0.4151865591605504, acc 0.83432, f1 0.30897, p 0.65490, r 0.20218
Iter 9800, task mwe, loss 0.721659262975057, acc 0.82852, f1 0.07438, p 0.46392, r 0.04043
Iter 9900, task com, loss 0.41419418156147003, acc 0.83520, f1 0.29573, p 0.68122, r 0.18886
Iter 9900, task mwe, loss 0.7188694993654887, acc 0.82944, f1 0.06717, p 0.51282, r 0.03594
Iter 10000, task com, loss 0.4134550342957179, acc 0.83366, f1 0.30684, p 0.64844, r 0.20097
Iter 10000, task mwe, loss 0.7156347950299581, acc 0.82974, f1 0.06102, p 0.53731, r 0.03235
Iter 10100, task com, loss 0.41233228147029877, acc 0.83454, f1 0.30019, p 0.66667, r 0.19370
Iter 10100, task mwe, loss 0.7123039841651917, acc 0.83005, f1 0.06271, p 0.55224, r 0.03324
Iter 10200, task com, loss 0.4118959655364354, acc 0.83476, f1 0.32211, p 0.64835, r 0.21429
Iter 10200, task mwe, loss 0.7077265580495199, acc 0.82959, f1 0.07775, p 0.48958, r 0.04223
Iter 10300, task com, loss 0.41132878760496777, acc 0.83498, f1 0.32486, p 0.64855, r 0.21671
Iter 10300, task mwe, loss 0.7038111209869384, acc 0.82974, f1 0.08086, p 0.49495, r 0.04403
Iter 10400, task com, loss 0.40968573093414307, acc 0.83520, f1 0.31772, p 0.65779, r 0.20944
Iter 10400, task mwe, loss 0.7006401419639587, acc 0.83020, f1 0.08119, p 0.52128, r 0.04403
Iter 10500, task com, loss 0.40924836695194244, acc 0.83498, f1 0.32117, p 0.65185, r 0.21308
Iter 10500, task mwe, loss 0.6968143463134766, acc 0.82990, f1 0.07801, p 0.51087, r 0.04223
Iter 10600, task com, loss 0.40811850130558014, acc 0.83476, f1 0.31463, p 0.65517, r 0.20702
Iter 10600, task mwe, loss 0.6933499415715535, acc 0.83020, f1 0.07660, p 0.52273, r 0.04133
Iter 10700, task com, loss 0.40740659832954407, acc 0.83564, f1 0.31070, p 0.67068, r 0.20218
Iter 10700, task mwe, loss 0.6878010193506877, acc 0.82974, f1 0.08532, p 0.49057, r 0.04672
Iter 10800, task com, loss 0.40716568132241565, acc 0.83498, f1 0.32609, p 0.64748, r 0.21792
Iter 10800, task mwe, loss 0.6844663977622986, acc 0.83036, f1 0.08126, p 0.52688, r 0.04403
Iter 10900, task com, loss 0.40621961156527203, acc 0.83520, f1 0.31897, p 0.65660, r 0.21065
Iter 10900, task mwe, loss 0.6798730969429017, acc 0.83020, f1 0.09283, p 0.49565, r 0.05121
Iter 11000, task com, loss 0.4053771297136943, acc 0.83498, f1 0.31238, p 0.66016, r 0.20460
Iter 11000, task mwe, loss 0.6768465677897135, acc 0.83020, f1 0.08119, p 0.52128, r 0.04403
Iter 11100, task com, loss 0.40502485632896423, acc 0.83608, f1 0.33213, p 0.65248, r 0.22276
Iter 11100, task mwe, loss 0.6726200381914774, acc 0.83066, f1 0.08588, p 0.53061, r 0.04672
Iter 11200, task com, loss 0.4043264140685399, acc 0.83564, f1 0.32516, p 0.65091, r 0.21671
Iter 11200, task mwe, loss 0.6684114853541057, acc 0.83020, f1 0.08845, p 0.50000, r 0.04852
Iter 11300, task com, loss 0.4031938463449478, acc 0.83520, f1 0.31463, p 0.65517, r 0.20702
Iter 11300, task mwe, loss 0.6638843536376953, acc 0.83020, f1 0.09121, p 0.48696, r 0.05031
Iter 11400, task com, loss 0.40282020966211957, acc 0.83586, f1 0.32790, p 0.65108, r 0.21913
Iter 11400, task mwe, loss 0.6599342425664266, acc 0.83051, f1 0.09871, p 0.49593, r 0.05481
Iter 11500, task com, loss 0.40256211658318836, acc 0.83630, f1 0.33929, p 0.64626, r 0.23002
Iter 11500, task mwe, loss 0.6563197692235311, acc 0.83081, f1 0.09454, p 0.50877, r 0.05211
Iter 11600, task com, loss 0.4011159936587016, acc 0.83586, f1 0.31927, p 0.65909, r 0.21065
Iter 11600, task mwe, loss 0.6530357599258423, acc 0.83066, f1 0.09871, p 0.49593, r 0.05481
Iter 11700, task com, loss 0.40058045585950214, acc 0.83652, f1 0.31256, p 0.67470, r 0.20339
Iter 11700, task mwe, loss 0.6493281404177348, acc 0.83081, f1 0.09732, p 0.50000, r 0.05391
Iter 11800, task com, loss 0.4001416613658269, acc 0.83696, f1 0.34138, p 0.65188, r 0.23123
Iter 11800, task mwe, loss 0.6456113258997599, acc 0.83081, f1 0.09299, p 0.50442, r 0.05121
Iter 11900, task com, loss 0.399254247546196, acc 0.83740, f1 0.33962, p 0.65854, r 0.22881
Iter 11900, task mwe, loss 0.6417762994766235, acc 0.83142, f1 0.10202, p 0.51639, r 0.05660
Iter 12000, task com, loss 0.3982788970073064, acc 0.83586, f1 0.31927, p 0.65909, r 0.21065
Iter 12000, task mwe, loss 0.6389798521995544, acc 0.83112, f1 0.09329, p 0.52294, r 0.05121
Iter 12100, task com, loss 0.3977501491705577, acc 0.83740, f1 0.33843, p 0.65965, r 0.22760
Iter 12100, task mwe, loss 0.6344987034797669, acc 0.83127, f1 0.11040, p 0.50365, r 0.06199
Iter 12200, task com, loss 0.3969916154940923, acc 0.83564, f1 0.31647, p 0.65900, r 0.20823
Iter 12200, task mwe, loss 0.6319604516029358, acc 0.83112, f1 0.09195, p 0.53333, r 0.05031
Iter 12300, task com, loss 0.39650794863700867, acc 0.83696, f1 0.31157, p 0.67886, r 0.20218
Iter 12300, task mwe, loss 0.6271382053693135, acc 0.83173, f1 0.10381, p 0.53333, r 0.05750
Iter 12400, task com, loss 0.39583922425905865, acc 0.83564, f1 0.32516, p 0.65091, r 0.21671
Iter 12400, task mwe, loss 0.6232357899347941, acc 0.83204, f1 0.10526, p 0.53279, r 0.05840
Iter 12500, task com, loss 0.3952665328979492, acc 0.83762, f1 0.33993, p 0.66084, r 0.22881
Iter 12500, task mwe, loss 0.6190963308016459, acc 0.83234, f1 0.11538, p 0.53333, r 0.06469
Iter 12600, task com, loss 0.39436504741509754, acc 0.83696, f1 0.32909, p 0.66058, r 0.21913
Iter 12600, task mwe, loss 0.616430687904358, acc 0.83219, f1 0.10252, p 0.54310, r 0.05660
Iter 12700, task com, loss 0.39398391048113507, acc 0.83718, f1 0.34138, p 0.65188, r 0.23123
Iter 12700, task mwe, loss 0.6124059557914734, acc 0.83265, f1 0.10859, p 0.55372, r 0.06020
Iter 12800, task com, loss 0.3930720388889313, acc 0.83784, f1 0.33394, p 0.66667, r 0.22276
Iter 12800, task mwe, loss 0.6090898672739665, acc 0.83219, f1 0.10968, p 0.53543, r 0.06110
Iter 12900, task com, loss 0.3927956869204839, acc 0.83696, f1 0.34342, p 0.64765, r 0.23366
Iter 12900, task mwe, loss 0.6048950552940369, acc 0.83326, f1 0.12975, p 0.54305, r 0.07367
Iter 13000, task com, loss 0.39200035234292346, acc 0.83806, f1 0.33696, p 0.66906, r 0.22518
Iter 13000, task mwe, loss 0.6014919996261596, acc 0.83234, f1 0.11952, p 0.52817, r 0.06739
Iter 13100, task com, loss 0.3913668692111969, acc 0.83850, f1 0.34790, p 0.66102, r 0.23608
