Iter 1420, task ccg, loss 3.7558212280273438
Iter 1430, task ccg, loss 3.7022674083709717
Iter 1440, task ccg, loss 3.764608860015869
Iter 1450, task ccg, loss 3.7649483680725098
Iter 1460, task ccg, loss 3.6460165977478027
Iter 1470, task ccg, loss 3.6800522804260254
Iter 1480, task ccg, loss 3.820122480392456
Iter 1490, task ccg, loss 3.7323951721191406
Iter 1500, task ccg, loss 3.711606979370117
Iter 1510, task ccg, loss 3.735058546066284
Iter 1520, task ccg, loss 3.6290817260742188
Iter 1530, task ccg, loss 3.7686386108398438
Iter 1540, task ccg, loss 3.6201488971710205
Iter 1550, task ccg, loss 3.723198652267456
Iter 1560, task ccg, loss 3.8018062114715576
Iter 1570, task ccg, loss 3.68603253364563
Iter 1580, task ccg, loss 3.71789813041687
Iter 1590, task ccg, loss 3.610182285308838
Iter 1600, task ccg, loss 3.6133925914764404
Iter 1610, task ccg, loss 3.6695961952209473
Iter 1620, task ccg, loss 3.674039363861084
Iter 1630, task ccg, loss 3.669816493988037
Iter 1640, task ccg, loss 3.703955888748169
Iter 1650, task ccg, loss 3.6818530559539795
Iter 1660, task ccg, loss 3.672661542892456
Iter 1670, task ccg, loss 3.64351224899292
Iter 1680, task ccg, loss 3.6462979316711426
Iter 1690, task ccg, loss 3.5623116493225098
Iter 1700, task ccg, loss 3.5904719829559326
Iter 1710, task ccg, loss 3.5461769104003906
Iter 1720, task ccg, loss 3.566828966140747
Iter 1730, task ccg, loss 3.671532392501831
Iter 1740, task ccg, loss 3.6488585472106934
Iter 1750, task ccg, loss 3.506932020187378
Iter 1760, task ccg, loss 3.5351970195770264
Iter 1770, task ccg, loss 3.6286559104919434
Iter 1780, task ccg, loss 3.5128517150878906
Iter 1790, task ccg, loss 3.623373031616211
Iter 1800, task ccg, loss 3.5817947387695312
Iter 1810, task ccg, loss 3.561660051345825
Iter 1820, task ccg, loss 3.589916706085205
Iter 1830, task ccg, loss 3.609165906906128
Iter 1840, task ccg, loss 3.489128828048706
Iter 1850, task ccg, loss 3.5137031078338623
Iter 1860, task ccg, loss 3.572936534881592
Iter 1870, task ccg, loss 3.449294328689575
Iter 1880, task ccg, loss 3.6091113090515137
Iter 1890, task ccg, loss 3.4470036029815674
Iter 1900, task ccg, loss 3.5138957500457764
Iter 1910, task ccg, loss 3.51765775680542
Iter 1920, task ccg, loss 3.413466691970825
Iter 1930, task ccg, loss 3.5682952404022217
Iter 1940, task ccg, loss 3.540579319000244
Iter 1950, task ccg, loss 3.5360348224639893
Iter 1960, task ccg, loss 3.4227001667022705
Iter 1970, task ccg, loss 3.4357616901397705
Iter 1980, task ccg, loss 3.4424571990966797
Iter 1990, task ccg, loss 3.490863800048828
Iter 2000, task ccg, loss 3.4528021812438965
Iter 2010, task ccg, loss 3.4834036827087402
Iter 2020, task ccg, loss 3.376494884490967
Iter 2030, task ccg, loss 3.522745132446289
