Iter 6000, task streusle, loss 2.317259359359741, acc 0.67583, f1 0.44631, p 0.50464, r 0.40006
Iter 6100, task streusle, loss 2.3019508838653566, acc 0.67858, f1 0.45107, p 0.50888, r 0.40506
Iter 6200, task streusle, loss 2.2870315392812093, acc 0.67980, f1 0.45315, p 0.51090, r 0.40712
Iter 6300, task streusle, loss 2.271517260869344, acc 0.67980, f1 0.45268, p 0.50563, r 0.40977
Iter 6400, task streusle, loss 2.2565777778625487, acc 0.68209, f1 0.45750, p 0.50958, r 0.41507
Iter 6500, task streusle, loss 2.2416473229726157, acc 0.68163, f1 0.45708, p 0.50810, r 0.41537
Iter 6600, task streusle, loss 2.2267980098724367, acc 0.68423, f1 0.46176, p 0.51484, r 0.41860
Iter 6700, task streusle, loss 2.2122206687927246, acc 0.68545, f1 0.46322, p 0.51802, r 0.41890
Iter 6800, task streusle, loss 2.197654604911804, acc 0.68636, f1 0.46540, p 0.51766, r 0.42273
Iter 6900, task streusle, loss 2.1827110370000202, acc 0.68759, f1 0.46742, p 0.51695, r 0.42655
Iter 7000, task streusle, loss 2.1680404504140216, acc 0.68865, f1 0.46837, p 0.51669, r 0.42832
Iter 7100, task streusle, loss 2.1531885147094725, acc 0.68896, f1 0.46887, p 0.51703, r 0.42891
Iter 7200, task streusle, loss 2.138451663653056, acc 0.68988, f1 0.47029, p 0.51750, r 0.43097
Iter 7300, task streusle, loss 2.1233640829722087, acc 0.69003, f1 0.46976, p 0.51455, r 0.43215
Iter 7400, task streusle, loss 2.10895258585612, acc 0.69064, f1 0.47008, p 0.51827, r 0.43009
Iter 7500, task streusle, loss 2.0946209828058877, acc 0.69079, f1 0.47048, p 0.51377, r 0.43391
Iter 7600, task streusle, loss 2.0801376422246296, acc 0.69324, f1 0.47453, p 0.51849, r 0.43744
Iter 7700, task streusle, loss 2.0653613885243733, acc 0.69369, f1 0.47448, p 0.52171, r 0.43509
Iter 7800, task streusle, loss 2.050967224438985, acc 0.69415, f1 0.47631, p 0.51985, r 0.43951
Iter 7900, task streusle, loss 2.0365628639856976, acc 0.69537, f1 0.47753, p 0.52068, r 0.44098
Iter 8000, task streusle, loss 2.0222482522328695, acc 0.69644, f1 0.47857, p 0.52399, r 0.44039
Iter 8100, task streusle, loss 2.0073983589808146, acc 0.69873, f1 0.48448, p 0.52737, r 0.44804
Iter 8200, task streusle, loss 1.9933107376098633, acc 0.69858, f1 0.48277, p 0.52699, r 0.44539
Iter 8300, task streusle, loss 1.9790669600168864, acc 0.69797, f1 0.48112, p 0.52431, r 0.44451
Iter 8400, task streusle, loss 1.9648029247919718, acc 0.70011, f1 0.48502, p 0.52541, r 0.45040
Iter 8500, task streusle, loss 1.9502507448196411, acc 0.70133, f1 0.48716, p 0.52763, r 0.45246
Iter 8600, task streusle, loss 1.9363112211227418, acc 0.70102, f1 0.48586, p 0.52779, r 0.45010
