Iter 1410, task streusle, loss 3.110340118408203
Iter 1420, task streusle, loss 3.0982372760772705
Iter 1430, task streusle, loss 3.1875393390655518
Iter 1440, task streusle, loss 3.063260793685913
Iter 1450, task streusle, loss 3.1342647075653076
Iter 1460, task streusle, loss 3.0506184101104736
Iter 1470, task streusle, loss 3.040771961212158
Iter 1480, task streusle, loss 3.0811238288879395
Iter 1490, task streusle, loss 3.1290435791015625
Iter 1500, task streusle, loss 3.072401285171509
Iter 1510, task streusle, loss 3.076129198074341
Iter 1520, task streusle, loss 3.162100315093994
Iter 1530, task streusle, loss 3.141843557357788
Iter 1540, task streusle, loss 3.0998456478118896
Iter 1550, task streusle, loss 3.0213513374328613
Iter 1560, task streusle, loss 3.115901470184326
Iter 1570, task streusle, loss 3.092568874359131
Iter 1580, task streusle, loss 3.0968310832977295
Iter 1590, task streusle, loss 2.9906373023986816
Iter 1600, task streusle, loss 3.1236660480499268
Iter 1610, task streusle, loss 3.029552936553955
Iter 1620, task streusle, loss 3.1207938194274902
Iter 1630, task streusle, loss 3.1464762687683105
Iter 1640, task streusle, loss 3.1101083755493164
Iter 1650, task streusle, loss 3.1095926761627197
Iter 1660, task streusle, loss 3.0445008277893066
Iter 1670, task streusle, loss 3.0364246368408203
Iter 1680, task streusle, loss 3.097212314605713
Iter 1690, task streusle, loss 3.0522923469543457
Iter 1700, task streusle, loss 3.0482687950134277
Iter 1710, task streusle, loss 3.1173806190490723
Iter 1720, task streusle, loss 2.9774558544158936
Iter 1730, task streusle, loss 3.123126983642578
Iter 1740, task streusle, loss 3.0252609252929688
Iter 1750, task streusle, loss 2.937208890914917
Iter 1760, task streusle, loss 3.0758678913116455
Iter 1770, task streusle, loss 3.0883796215057373
Iter 1780, task streusle, loss 3.011228322982788
Iter 1790, task streusle, loss 3.044989585876465
Iter 1800, task streusle, loss 3.0864603519439697
Iter 1810, task streusle, loss 3.0177600383758545
Iter 1820, task streusle, loss 2.99475359916687
Iter 1830, task streusle, loss 3.0502266883850098
Iter 1840, task streusle, loss 3.057359218597412
Iter 1850, task streusle, loss 3.053255796432495
Iter 1860, task streusle, loss 3.026157855987549
Iter 1870, task streusle, loss 3.0221214294433594
Iter 1880, task streusle, loss 2.9932429790496826
Iter 1890, task streusle, loss 3.0060601234436035
Iter 1900, task streusle, loss 3.006516456604004
Iter 1910, task streusle, loss 3.014155864715576
Iter 1920, task streusle, loss 3.0435283184051514
Iter 1930, task streusle, loss 3.0209407806396484
Iter 1940, task streusle, loss 2.9793813228607178
Iter 1950, task streusle, loss 2.974097967147827
Iter 1960, task streusle, loss 2.974398136138916
Iter 1970, task streusle, loss 3.016148805618286
Iter 1980, task streusle, loss 2.927833080291748
Iter 1990, task streusle, loss 2.9516899585723877
Iter 2000, task streusle, loss 3.0842068195343018
Iter 2010, task streusle, loss 3.0121660232543945
Iter 2020, task streusle, loss 2.9835567474365234
Iter 2030, task streusle, loss 2.944740056991577
Iter 2040, task streusle, loss 3.014530658721924
Iter 2050, task streusle, loss 2.945274829864502
Iter 2060, task streusle, loss 2.982125759124756
Iter 2070, task streusle, loss 2.942105293273926
Iter 2080, task streusle, loss 2.9916133880615234
Iter 2090, task streusle, loss 2.959277629852295
Iter 2100, task streusle, loss 2.948840379714966
Iter 2110, task streusle, loss 2.995408535003662
Iter 2120, task streusle, loss 2.9280483722686768
Iter 2130, task streusle, loss 2.926379919052124
Iter 2140, task streusle, loss 2.9412150382995605
Iter 2150, task streusle, loss 2.8974266052246094
Iter 2160, task streusle, loss 2.9913620948791504
Iter 2170, task streusle, loss 2.9960594177246094
Iter 2180, task streusle, loss 2.9514288902282715
Iter 2190, task streusle, loss 3.034759998321533
Iter 2200, task streusle, loss 2.9773941040039062
Iter 2210, task streusle, loss 2.9284026622772217
Iter 2220, task streusle, loss 3.011993646621704
Iter 2230, task streusle, loss 2.981478214263916
Iter 2240, task streusle, loss 2.990004062652588
Iter 2250, task streusle, loss 2.955026865005493
Iter 2260, task streusle, loss 2.980959415435791
Iter 2270, task streusle, loss 2.845780849456787
Iter 2280, task streusle, loss 2.939992904663086
Iter 2290, task streusle, loss 2.916072130203247
Iter 2300, task streusle, loss 2.946277379989624
Iter 2310, task streusle, loss 2.9028561115264893
Iter 2320, task streusle, loss 2.896838665008545
Iter 2330, task streusle, loss 2.926727294921875
Iter 2340, task streusle, loss 2.8655307292938232
Iter 2350, task streusle, loss 2.8876023292541504
Iter 2360, task streusle, loss 2.815469741821289
Iter 2370, task streusle, loss 2.927600383758545
Iter 2380, task streusle, loss 2.943751335144043
Iter 2390, task streusle, loss 3.0430209636688232
Iter 2400, task streusle, loss 2.956331729888916
Iter 2410, task streusle, loss 2.903646469116211
Iter 2420, task streusle, loss 2.8827433586120605
Iter 2430, task streusle, loss 2.896270275115967
Iter 2440, task streusle, loss 2.876645088195801
Iter 2450, task streusle, loss 2.876378297805786
Iter 2460, task streusle, loss 2.8680055141448975
Iter 2470, task streusle, loss 2.9309911727905273
Iter 2480, task streusle, loss 2.9092440605163574
Iter 2490, task streusle, loss 2.847660541534424
Iter 2500, task streusle, loss 2.9024410247802734
Iter 2510, task streusle, loss 2.9449427127838135
Iter 2520, task streusle, loss 2.941241502761841
Iter 2530, task streusle, loss 2.86181378364563
Iter 2540, task streusle, loss 2.929291009902954
Iter 2550, task streusle, loss 2.8617656230926514
Iter 2560, task streusle, loss 2.8591372966766357
Iter 2570, task streusle, loss 2.919100284576416
Iter 2580, task streusle, loss 2.896193027496338
Iter 2590, task streusle, loss 2.888469934463501
Iter 2600, task streusle, loss 2.872469663619995
Iter 2610, task streusle, loss 2.8549842834472656
Iter 2620, task streusle, loss 2.8490474224090576
Iter 2630, task streusle, loss 2.797896146774292
Iter 2640, task streusle, loss 2.850539445877075
Iter 2650, task streusle, loss 2.7903213500976562
Iter 2660, task streusle, loss 2.8691108226776123
Iter 2670, task streusle, loss 2.767251968383789
Iter 2680, task streusle, loss 2.9142279624938965
Iter 2690, task streusle, loss 2.8886818885803223
Iter 2700, task streusle, loss 2.8300204277038574
Iter 2710, task streusle, loss 2.815051555633545
Iter 2720, task streusle, loss 2.7669265270233154
Iter 2730, task streusle, loss 2.806405544281006
Iter 2740, task streusle, loss 2.8814542293548584
Iter 2750, task streusle, loss 2.809469223022461
Iter 2760, task streusle, loss 2.8179264068603516
Iter 2770, task streusle, loss 2.846855640411377
Iter 2780, task streusle, loss 2.889915943145752
Iter 2790, task streusle, loss 2.815110445022583
Iter 2800, task streusle, loss 2.8959147930145264
Iter 2810, task streusle, loss 2.807342052459717
Iter 2820, task streusle, loss 2.809115171432495
Iter 2830, task streusle, loss 2.767956256866455
Iter 2840, task streusle, loss 2.8432466983795166
Iter 2850, task streusle, loss 2.8088488578796387
Iter 2860, task streusle, loss 2.8171229362487793
Iter 2870, task streusle, loss 2.7673771381378174
Iter 2880, task streusle, loss 2.874436855316162
Iter 2890, task streusle, loss 2.8003463745117188
Iter 2900, task streusle, loss 2.8406405448913574
Iter 2910, task streusle, loss 2.825169086456299
Iter 2920, task streusle, loss 2.7739968299865723
Iter 2930, task streusle, loss 2.8412764072418213
Iter 2940, task streusle, loss 2.7901782989501953
Iter 2950, task streusle, loss 2.8243961334228516
Iter 2960, task streusle, loss 2.7868409156799316
Iter 2970, task streusle, loss 2.7475788593292236
Iter 2980, task streusle, loss 2.8027844429016113
Iter 2990, task streusle, loss 2.825110912322998
Iter 3000, task streusle, loss 2.726531744003296
Iter 3010, task streusle, loss 2.7795474529266357
Iter 3020, task streusle, loss 2.730254650115967
Iter 3030, task streusle, loss 2.7166900634765625
Iter 3040, task streusle, loss 2.807781934738159
Iter 3050, task streusle, loss 2.7987523078918457
Iter 3060, task streusle, loss 2.7696213722229004
Iter 3070, task streusle, loss 2.7645668983459473
Iter 3080, task streusle, loss 2.7390153408050537
Iter 3090, task streusle, loss 2.773515462875366
Iter 3100, task streusle, loss 2.7016024589538574
Iter 3110, task streusle, loss 2.752591609954834
Iter 3120, task streusle, loss 2.7708396911621094
Iter 3130, task streusle, loss 2.832472324371338
Iter 3140, task streusle, loss 2.737161159515381
Iter 3150, task streusle, loss 2.712170124053955
Iter 3160, task streusle, loss 2.822509288787842
Iter 3170, task streusle, loss 2.7252657413482666
Iter 3180, task streusle, loss 2.6944427490234375
Iter 3190, task streusle, loss 2.7446603775024414
Iter 3200, task streusle, loss 2.6736843585968018
Iter 3210, task streusle, loss 2.8354878425598145
Iter 3220, task streusle, loss 2.741368293762207
Iter 3230, task streusle, loss 2.6522974967956543
Iter 3240, task streusle, loss 2.7291159629821777
Iter 3250, task streusle, loss 2.816371440887451
Iter 3260, task streusle, loss 2.7156100273132324
Iter 3270, task streusle, loss 2.748612880706787
Iter 3280, task streusle, loss 2.7187883853912354
Iter 3290, task streusle, loss 2.7650563716888428
Iter 3300, task streusle, loss 2.7839794158935547
Iter 3310, task streusle, loss 2.7190966606140137
Iter 3320, task streusle, loss 2.671988010406494
Iter 3330, task streusle, loss 2.8086447715759277
Iter 3340, task streusle, loss 2.686124324798584
Iter 3350, task streusle, loss 2.690352439880371
Iter 3360, task streusle, loss 2.6345763206481934
Iter 3370, task streusle, loss 2.676469564437866
Iter 3380, task streusle, loss 2.640190601348877
Iter 3390, task streusle, loss 2.8120789527893066
Iter 3400, task streusle, loss 2.6797995567321777
Iter 3410, task streusle, loss 2.6283938884735107
Iter 3420, task streusle, loss 2.65942120552063
Iter 3430, task streusle, loss 2.707737684249878
Iter 3440, task streusle, loss 2.690472364425659
Iter 3450, task streusle, loss 2.658292770385742
Iter 3460, task streusle, loss 2.7460851669311523
Iter 3470, task streusle, loss 2.633749008178711
Iter 3480, task streusle, loss 2.760106325149536
Iter 3490, task streusle, loss 2.769529342651367
Iter 3500, task streusle, loss 2.6930079460144043
Iter 3510, task streusle, loss 2.788661241531372
Iter 3520, task streusle, loss 2.732703685760498
Iter 3530, task streusle, loss 2.6730127334594727
Iter 3540, task streusle, loss 2.738069772720337
Iter 3550, task streusle, loss 2.720346689224243
Iter 3560, task streusle, loss 2.689748764038086
Iter 3570, task streusle, loss 2.6844534873962402
Iter 3580, task streusle, loss 2.6400249004364014
Iter 3590, task streusle, loss 2.714681625366211
Iter 3600, task streusle, loss 2.6754508018493652
Iter 3610, task streusle, loss 2.6831982135772705
Iter 3620, task streusle, loss 2.60453200340271
Iter 3630, task streusle, loss 2.6811976432800293
Iter 3640, task streusle, loss 2.5714402198791504
Iter 3650, task streusle, loss 2.6647849082946777
Iter 3660, task streusle, loss 2.6650092601776123
Iter 3670, task streusle, loss 2.668466806411743
Iter 3680, task streusle, loss 2.628277540206909
Iter 3690, task streusle, loss 2.6460630893707275
Iter 3700, task streusle, loss 2.661669969558716
Iter 3710, task streusle, loss 2.680295944213867
Iter 3720, task streusle, loss 2.657642126083374
Iter 3730, task streusle, loss 2.59395694732666
Iter 3740, task streusle, loss 2.656569004058838
Iter 3750, task streusle, loss 2.6026601791381836
Iter 3760, task streusle, loss 2.6672346591949463
Iter 3770, task streusle, loss 2.6721935272216797
Iter 3780, task streusle, loss 2.690420627593994
Iter 3790, task streusle, loss 2.61769700050354
Iter 3800, task streusle, loss 2.6877880096435547
Iter 3810, task streusle, loss 2.5904765129089355
Iter 3820, task streusle, loss 2.621232271194458
Iter 3830, task streusle, loss 2.6707088947296143
Iter 3840, task streusle, loss 2.6397855281829834
Iter 3850, task streusle, loss 2.632843017578125
Iter 3860, task streusle, loss 2.6382713317871094
Iter 3870, task streusle, loss 2.5779013633728027
Iter 3880, task streusle, loss 2.7200703620910645
Iter 3890, task streusle, loss 2.6252074241638184
Iter 3900, task streusle, loss 2.661442279815674
Iter 3910, task streusle, loss 2.6811470985412598
Iter 3920, task streusle, loss 2.5541417598724365
Iter 3930, task streusle, loss 2.6099929809570312
Iter 3940, task streusle, loss 2.624155044555664
Iter 3950, task streusle, loss 2.6197266578674316
Iter 3960, task streusle, loss 2.6150946617126465
Iter 3970, task streusle, loss 2.6499123573303223
Iter 3980, task streusle, loss 2.6374197006225586
Iter 3990, task streusle, loss 2.5641891956329346
Iter 4000, task streusle, loss 2.6875643730163574
Iter 4010, task streusle, loss 2.5494613647460938
Iter 4020, task streusle, loss 2.644094944000244
Iter 4030, task streusle, loss 2.61259388923645
Iter 4040, task streusle, loss 2.5422747135162354
Iter 4050, task streusle, loss 2.528794288635254
Iter 4060, task streusle, loss 2.591432809829712
Iter 4070, task streusle, loss 2.522555351257324
Iter 4080, task streusle, loss 2.6304190158843994
Iter 4090, task streusle, loss 2.616347551345825
Iter 4100, task streusle, loss 2.547114133834839
Iter 4110, task streusle, loss 2.603766918182373
Iter 4120, task streusle, loss 2.607896327972412
Iter 4130, task streusle, loss 2.507108211517334
Iter 4140, task streusle, loss 2.544224262237549
Iter 4150, task streusle, loss 2.5488743782043457
Iter 4160, task streusle, loss 2.53843355178833
Iter 4170, task streusle, loss 2.5252461433410645
Iter 4180, task streusle, loss 2.5784192085266113
Iter 4190, task streusle, loss 2.5551161766052246
Iter 4200, task streusle, loss 2.544929265975952
Iter 4210, task streusle, loss 2.6131484508514404
Iter 4220, task streusle, loss 2.556969165802002
Iter 4230, task streusle, loss 2.5859646797180176
Iter 4240, task streusle, loss 2.5753378868103027
Iter 4250, task streusle, loss 2.5481348037719727
Iter 4260, task streusle, loss 2.5882186889648438
Iter 4270, task streusle, loss 2.592855453491211
Iter 4280, task streusle, loss 2.570509672164917
