Iter 3000, task gpos, loss 1.9157134612401328, acc 0.61245, f1 0.62272, p 0.63333, r 0.61245
Iter 3000, task hyperlinks, loss 0.5989211599032084, acc 0.83812, f1 0.21564, p 0.78462, r 0.12500
Iter 3100, task gpos, loss 1.8966721852620443, acc 0.62066, f1 0.62919, p 0.63795, r 0.62066
Iter 3100, task hyperlinks, loss 0.6009901364644369, acc 0.83981, f1 0.27038, p 0.71579, r 0.16667
Iter 3200, task gpos, loss 1.879105019569397, acc 0.62711, f1 0.63563, p 0.64438, r 0.62711
Iter 3200, task hyperlinks, loss 0.5940077801545461, acc 0.83855, f1 0.22594, p 0.77143, r 0.13235
Iter 3300, task gpos, loss 1.8650430281956991, acc 0.63253, f1 0.64041, p 0.64849, r 0.63253
Iter 3300, task hyperlinks, loss 0.5918866594632467, acc 0.83897, f1 0.23285, p 0.76712, r 0.13725
Iter 3400, task gpos, loss 1.847905405362447, acc 0.63810, f1 0.64504, p 0.65214, r 0.63810
Iter 3400, task hyperlinks, loss 0.5892762939135233, acc 0.83981, f1 0.24017, p 0.77333, r 0.14216
Iter 3500, task gpos, loss 1.8282322724660238, acc 0.64440, f1 0.65035, p 0.65642, r 0.64440
Iter 3500, task hyperlinks, loss 0.5876553555329641, acc 0.84066, f1 0.25051, p 0.77215, r 0.14951
Iter 3600, task gpos, loss 1.8101060152053834, acc 0.65128, f1 0.65662, p 0.66205, r 0.65128
Iter 3600, task hyperlinks, loss 0.5870340863863627, acc 0.84024, f1 0.26210, p 0.73864, r 0.15931
Iter 3700, task gpos, loss 1.7948973973592122, acc 0.65451, f1 0.65938, p 0.66434, r 0.65451
Iter 3700, task hyperlinks, loss 0.5861417353153229, acc 0.84193, f1 0.27833, p 0.73684, r 0.17157
Iter 3800, task gpos, loss 1.7813711722691854, acc 0.65905, f1 0.66367, p 0.66835, r 0.65905
Iter 3800, task hyperlinks, loss 0.5831524729728699, acc 0.84404, f1 0.30350, p 0.73585, r 0.19118
Iter 3900, task gpos, loss 1.7667184273401897, acc 0.66286, f1 0.66721, p 0.67162, r 0.66286
Iter 3900, task hyperlinks, loss 0.583246519168218, acc 0.84150, f1 0.28346, p 0.72000, r 0.17647
Iter 4000, task gpos, loss 1.753428339958191, acc 0.66842, f1 0.67261, p 0.67685, r 0.66842
Iter 4000, task hyperlinks, loss 0.5818451941013336, acc 0.84531, f1 0.31619, p 0.70940, r 0.20343
Iter 4100, task gpos, loss 1.7394564072291057, acc 0.67223, f1 0.67635, p 0.68051, r 0.67223
Iter 4100, task hyperlinks, loss 0.5777348577976227, acc 0.84320, f1 0.26316, p 0.75581, r 0.15931
Iter 4200, task gpos, loss 1.7255360285441081, acc 0.67751, f1 0.68150, p 0.68554, r 0.67751
Iter 4200, task hyperlinks, loss 0.5780591269334158, acc 0.84489, f1 0.31034, p 0.71053, r 0.19853
Iter 4300, task gpos, loss 1.711370825767517, acc 0.68205, f1 0.68577, p 0.68953, r 0.68205
Iter 4300, task hyperlinks, loss 0.5759757260481516, acc 0.84362, f1 0.28402, p 0.72727, r 0.17647
Iter 4400, task gpos, loss 1.7002188920974732, acc 0.68322, f1 0.68685, p 0.69051, r 0.68322
Iter 4400, task hyperlinks, loss 0.5741954743862152, acc 0.84489, f1 0.31298, p 0.70690, r 0.20098
Iter 4500, task gpos, loss 1.6880755345026652, acc 0.68952, f1 0.69303, p 0.69657, r 0.68952
Iter 4500, task hyperlinks, loss 0.5716798603534698, acc 0.84235, f1 0.26210, p 0.73864, r 0.15931
Iter 4600, task gpos, loss 1.6776399612426758, acc 0.69377, f1 0.69725, p 0.70075, r 0.69377
Iter 4600, task hyperlinks, loss 0.5698795119921366, acc 0.84446, f1 0.29630, p 0.72381, r 0.18627
Iter 4700, task gpos, loss 1.6667216380437215, acc 0.69729, f1 0.70078, p 0.70431, r 0.69729
Iter 4700, task hyperlinks, loss 0.5682836969693502, acc 0.84531, f1 0.30561, p 0.72477, r 0.19363
Iter 4800, task gpos, loss 1.6545837640762329, acc 0.70168, f1 0.70489, p 0.70812, r 0.70168
Iter 4800, task hyperlinks, loss 0.5693454444408417, acc 0.84615, f1 0.32897, p 0.69291, r 0.21569
Iter 4900, task gpos, loss 1.6430579980214437, acc 0.70476, f1 0.70787, p 0.71101, r 0.70476
Iter 4900, task hyperlinks, loss 0.5683567523956299, acc 0.84531, f1 0.32523, p 0.68504, r 0.21324
Iter 5000, task gpos, loss 1.6327646891276042, acc 0.70916, f1 0.71224, p 0.71534, r 0.70916
Iter 5000, task hyperlinks, loss 0.5651333729426066, acc 0.84615, f1 0.29134, p 0.74000, r 0.18137
Iter 5100, task gpos, loss 1.6212442715962727, acc 0.71429, f1 0.71723, p 0.72020, r 0.71429
Iter 5100, task hyperlinks, loss 0.5637202163537344, acc 0.84446, f1 0.29730, p 0.70000, r 0.18873
Iter 5200, task gpos, loss 1.6128106673558553, acc 0.71502, f1 0.71791, p 0.72083, r 0.71502
Iter 5200, task hyperlinks, loss 0.5628849565982819, acc 0.84615, f1 0.31559, p 0.70339, r 0.20343
Iter 5300, task gpos, loss 1.6012285232543946, acc 0.71897, f1 0.72172, p 0.72449, r 0.71897
