Iter 3000, task hyperlinks, loss 0.5801698565483093, acc 0.83347, f1 0.15111, p 0.80952, r 0.08333
Iter 3100, task com, loss 0.6914494335651398, acc 0.82246, f1 0.18407, p 0.63121, r 0.10775
Iter 3100, task hyperlinks, loss 0.5768038630485535, acc 0.83263, f1 0.14286, p 0.80000, r 0.07843
Iter 3200, task com, loss 0.6886647442976633, acc 0.82377, f1 0.20528, p 0.63924, r 0.12228
Iter 3200, task hyperlinks, loss 0.5754558642705282, acc 0.83390, f1 0.17354, p 0.75472, r 0.09804
Iter 3300, task com, loss 0.6861651043097178, acc 0.82356, f1 0.20968, p 0.62651, r 0.12591
Iter 3300, task hyperlinks, loss 0.5726673205693563, acc 0.83601, f1 0.19658, p 0.76667, r 0.11275
Iter 3400, task com, loss 0.6837820808092753, acc 0.82421, f1 0.21622, p 0.62428, r 0.13075
Iter 3400, task hyperlinks, loss 0.5698055823644003, acc 0.83474, f1 0.16703, p 0.80851, r 0.09314
Iter 3500, task com, loss 0.6811708013216654, acc 0.82509, f1 0.22244, p 0.61878, r 0.13559
Iter 3500, task hyperlinks, loss 0.5680562059084574, acc 0.83812, f1 0.21564, p 0.78462, r 0.12500
Iter 3600, task com, loss 0.678687204917272, acc 0.82597, f1 0.22948, p 0.62703, r 0.14044
Iter 3600, task hyperlinks, loss 0.5661827623844147, acc 0.83601, f1 0.18925, p 0.77193, r 0.10784
Iter 3700, task com, loss 0.677058200041453, acc 0.82707, f1 0.25434, p 0.62264, r 0.15981
Iter 3700, task hyperlinks, loss 0.5657302041848501, acc 0.83939, f1 0.23602, p 0.76000, r 0.13971
Iter 3800, task com, loss 0.673627495765686, acc 0.82575, f1 0.23506, p 0.61538, r 0.14528
Iter 3800, task hyperlinks, loss 0.5623429914315542, acc 0.83981, f1 0.23333, p 0.77778, r 0.13725
Iter 3900, task com, loss 0.6710126300652822, acc 0.82641, f1 0.22488, p 0.63128, r 0.13680
Iter 3900, task hyperlinks, loss 0.5596440732479095, acc 0.84108, f1 0.23800, p 0.80282, r 0.13971
