Iter 6000, task semcor, loss 1.6700267636257669, acc 0.71426, f1 0.45687, p 0.47855, r 0.43708
Iter 6100, task semcor, loss 1.6593133191391054, acc 0.71595, f1 0.45894, p 0.48226, r 0.43777
Iter 6200, task semcor, loss 1.648688432839593, acc 0.71830, f1 0.46391, p 0.48550, r 0.44416
Iter 6300, task semcor, loss 1.6380832407538688, acc 0.71897, f1 0.46463, p 0.48694, r 0.44427
Iter 6400, task semcor, loss 1.6278674654338672, acc 0.72129, f1 0.46883, p 0.48979, r 0.44959
Iter 6500, task semcor, loss 1.617490049474728, acc 0.72286, f1 0.47137, p 0.49185, r 0.45253
Iter 6600, task semcor, loss 1.6072265314512866, acc 0.72402, f1 0.47392, p 0.49356, r 0.45578
Iter 6700, task semcor, loss 1.5971687041207623, acc 0.72571, f1 0.47714, p 0.49845, r 0.45758
Iter 6800, task semcor, loss 1.58729753891627, acc 0.72631, f1 0.47764, p 0.50036, r 0.45690
Iter 6900, task semcor, loss 1.5772558999851376, acc 0.72844, f1 0.48152, p 0.49833, r 0.46581
Iter 7000, task semcor, loss 1.5675969792695765, acc 0.72979, f1 0.48367, p 0.50562, r 0.46354
Iter 7100, task semcor, loss 1.5578804150624799, acc 0.73106, f1 0.48586, p 0.50617, r 0.46712
Iter 7200, task semcor, loss 1.548166953628848, acc 0.73239, f1 0.48981, p 0.50737, r 0.47342
Iter 7300, task semcor, loss 1.5384305846370279, acc 0.73381, f1 0.49118, p 0.51081, r 0.47300
Iter 7400, task semcor, loss 1.5288681883989654, acc 0.73414, f1 0.49094, p 0.50856, r 0.47450
Iter 7500, task semcor, loss 1.5195242710735486, acc 0.73592, f1 0.49565, p 0.51401, r 0.47856
Iter 7600, task semcor, loss 1.5098756158080406, acc 0.73725, f1 0.49724, p 0.51438, r 0.48120
Iter 7700, task semcor, loss 1.50074203043991, acc 0.73869, f1 0.50048, p 0.51884, r 0.48338
Iter 7800, task semcor, loss 1.4912511205327683, acc 0.73947, f1 0.50212, p 0.52127, r 0.48432
Iter 7900, task semcor, loss 1.4820987600717486, acc 0.74101, f1 0.50367, p 0.51815, r 0.48997
Iter 8000, task semcor, loss 1.4729091317757317, acc 0.74237, f1 0.50705, p 0.52509, r 0.49020
Iter 8100, task semcor, loss 1.463716599635209, acc 0.74294, f1 0.50795, p 0.52588, r 0.49119
Iter 8200, task semcor, loss 1.4546932032636481, acc 0.74330, f1 0.50863, p 0.52565, r 0.49267
Iter 8300, task semcor, loss 1.4457269097460477, acc 0.74486, f1 0.51194, p 0.52985, r 0.49519
Iter 8400, task semcor, loss 1.4367972501316426, acc 0.74590, f1 0.51302, p 0.53000, r 0.49709
Iter 8500, task semcor, loss 1.427867683564654, acc 0.74769, f1 0.51650, p 0.53184, r 0.50201
Iter 8600, task semcor, loss 1.4191303731985467, acc 0.74816, f1 0.51751, p 0.53130, r 0.50441
Iter 8700, task semcor, loss 1.4105139256264112, acc 0.74893, f1 0.51870, p 0.53262, r 0.50549
Iter 8800, task semcor, loss 1.401758649087594, acc 0.75005, f1 0.52115, p 0.53248, r 0.51029
Iter 8900, task semcor, loss 1.3930093473282412, acc 0.75092, f1 0.52256, p 0.53915, r 0.50697
Iter 9000, task semcor, loss 1.3845658799629528, acc 0.75172, f1 0.52362, p 0.53950, r 0.50865
Iter 9100, task semcor, loss 1.3760233964485657, acc 0.75248, f1 0.52555, p 0.54377, r 0.50852
Iter 9200, task semcor, loss 1.3673531747506025, acc 0.75289, f1 0.52659, p 0.54377, r 0.51046
Iter 9300, task semcor, loss 1.358775752795162, acc 0.75412, f1 0.52881, p 0.54341, r 0.51498
Iter 9400, task semcor, loss 1.3505052296024425, acc 0.75484, f1 0.53078, p 0.54604, r 0.51635
Iter 9500, task semcor, loss 1.3420423456847543, acc 0.75545, f1 0.53124, p 0.54540, r 0.51781
Iter 9600, task semcor, loss 1.3336979010090324, acc 0.75630, f1 0.53352, p 0.54790, r 0.51988
Iter 9700, task semcor, loss 1.325312306175074, acc 0.75741, f1 0.53454, p 0.54884, r 0.52096
