Iter 1390, task mwe, loss 1.3783459663391113
Iter 1400, task mwe, loss 1.3485791683197021
Iter 1410, task mwe, loss 1.3560410737991333
Iter 1420, task mwe, loss 1.347952127456665
Iter 1430, task mwe, loss 1.4202955961227417
Iter 1440, task mwe, loss 1.4010564088821411
Iter 1450, task mwe, loss 1.3884905576705933
Iter 1460, task mwe, loss 1.392075538635254
Iter 1470, task mwe, loss 1.3325501680374146
Iter 1480, task mwe, loss 1.3549052476882935
Iter 1490, task mwe, loss 1.3535792827606201
Iter 1500, task mwe, loss 1.3540440797805786
Iter 1510, task mwe, loss 1.3438773155212402
Iter 1520, task mwe, loss 1.3726587295532227
Iter 1530, task mwe, loss 1.3896466493606567
Iter 1540, task mwe, loss 1.3314940929412842
Iter 1550, task mwe, loss 1.3385870456695557
Iter 1560, task mwe, loss 1.3259832859039307
Iter 1570, task mwe, loss 1.356311559677124
Iter 1580, task mwe, loss 1.3722625970840454
Iter 1590, task mwe, loss 1.2886838912963867
Iter 1600, task mwe, loss 1.3031105995178223
Iter 1610, task mwe, loss 1.379038691520691
Iter 1620, task mwe, loss 1.346008539199829
Iter 1630, task mwe, loss 1.3714098930358887
Iter 1640, task mwe, loss 1.3395349979400635
Iter 1650, task mwe, loss 1.3738162517547607
Iter 1660, task mwe, loss 1.355879783630371
Iter 1670, task mwe, loss 1.3461391925811768
Iter 1680, task mwe, loss 1.3387515544891357
Iter 1690, task mwe, loss 1.3354642391204834
Iter 1700, task mwe, loss 1.3665947914123535
Iter 1710, task mwe, loss 1.3827040195465088
Iter 1720, task mwe, loss 1.3825719356536865
Iter 1730, task mwe, loss 1.270106554031372
Iter 1740, task mwe, loss 1.372796654701233
Iter 1750, task mwe, loss 1.3412714004516602
Iter 1760, task mwe, loss 1.3069063425064087
Iter 1770, task mwe, loss 1.3277442455291748
Iter 1780, task mwe, loss 1.3033497333526611
Iter 1790, task mwe, loss 1.2861378192901611
Iter 1800, task mwe, loss 1.3169879913330078
Iter 1810, task mwe, loss 1.33352792263031
Iter 1820, task mwe, loss 1.344330072402954
Iter 1830, task mwe, loss 1.3209788799285889
Iter 1840, task mwe, loss 1.3501495122909546
Iter 1850, task mwe, loss 1.3272767066955566
Iter 1860, task mwe, loss 1.3229796886444092
Iter 1870, task mwe, loss 1.258553147315979
Iter 1880, task mwe, loss 1.3372571468353271
Iter 1890, task mwe, loss 1.3291552066802979
Iter 1900, task mwe, loss 1.304994821548462
Iter 1910, task mwe, loss 1.2899065017700195
