Iter 5700, task hyperlinks, loss 0.5331641733646393, acc 0.84869, f1 0.37077, p 0.67974, r 0.25490
Iter 5800, task hyperlinks, loss 0.5354145566622416, acc 0.84742, f1 0.34317, p 0.69403, r 0.22794
Iter 5900, task hyperlinks, loss 0.5316317478815714, acc 0.84658, f1 0.37565, p 0.64671, r 0.26471
Iter 6000, task hyperlinks, loss 0.5298648774623871, acc 0.84996, f1 0.38743, p 0.67273, r 0.27206
Iter 6100, task hyperlinks, loss 0.5300124784310659, acc 0.84869, f1 0.37676, p 0.66875, r 0.26225
Iter 6200, task hyperlinks, loss 0.5287807087103525, acc 0.84446, f1 0.37884, p 0.62360, r 0.27206
Iter 6300, task hyperlinks, loss 0.5275638004144033, acc 0.84911, f1 0.37011, p 0.67532, r 0.25490
Iter 6400, task hyperlinks, loss 0.5239272117614746, acc 0.84615, f1 0.40594, p 0.62121, r 0.30147
Iter 6500, task hyperlinks, loss 0.5230603317419688, acc 0.84700, f1 0.39527, p 0.63587, r 0.28676
Iter 6600, task hyperlinks, loss 0.522737592458725, acc 0.84362, f1 0.38796, p 0.61053, r 0.28431
Iter 6700, task hyperlinks, loss 0.5219952861467997, acc 0.84193, f1 0.40323, p 0.58962, r 0.30637
Iter 6800, task hyperlinks, loss 0.5214326481024424, acc 0.84193, f1 0.40065, p 0.58768, r 0.30392
Iter 6900, task hyperlinks, loss 0.5188446342945099, acc 0.84700, f1 0.40333, p 0.63021, r 0.29657
Iter 7000, task hyperlinks, loss 0.5192509194215139, acc 0.84489, f1 0.40000, p 0.61421, r 0.29657
Iter 7100, task hyperlinks, loss 0.5185943841934204, acc 0.84108, f1 0.40575, p 0.58257, r 0.31127
Iter 7200, task hyperlinks, loss 0.5196863114833832, acc 0.84362, f1 0.38384, p 0.61290, r 0.27941
Iter 7300, task hyperlinks, loss 0.5171626706918081, acc 0.84700, f1 0.40333, p 0.63021, r 0.29657
Iter 7400, task hyperlinks, loss 0.5160749355951945, acc 0.84658, f1 0.40067, p 0.62827, r 0.29412
Iter 7500, task hyperlinks, loss 0.5134590168793997, acc 0.84615, f1 0.40397, p 0.62245, r 0.29902
Iter 7600, task hyperlinks, loss 0.5145049691200256, acc 0.84996, f1 0.40541, p 0.65217, r 0.29412
Iter 7700, task hyperlinks, loss 0.5110977391401926, acc 0.84404, f1 0.41413, p 0.60000, r 0.31618
Iter 7800, task hyperlinks, loss 0.5101128816604614, acc 0.84658, f1 0.41436, p 0.61951, r 0.31127
Iter 7900, task hyperlinks, loss 0.508919914563497, acc 0.84404, f1 0.40457, p 0.60488, r 0.30392
Iter 8000, task hyperlinks, loss 0.5075430472691854, acc 0.84700, f1 0.41311, p 0.62376, r 0.30882
Iter 8100, task hyperlinks, loss 0.5107134977976481, acc 0.84954, f1 0.38889, p 0.66667, r 0.27451
Iter 8200, task hyperlinks, loss 0.5074529051780701, acc 0.84573, f1 0.41109, p 0.61463, r 0.30882
Iter 8300, task hyperlinks, loss 0.5063597758611044, acc 0.84362, f1 0.40000, p 0.60396, r 0.29902
Iter 8400, task hyperlinks, loss 0.5102411409219106, acc 0.84742, f1 0.39182, p 0.64246, r 0.28186
Iter 8500, task hyperlinks, loss 0.503467837969462, acc 0.84531, f1 0.41042, p 0.61165, r 0.30882
Iter 8600, task hyperlinks, loss 0.5020221869150797, acc 0.84742, f1 0.41186, p 0.62814, r 0.30637
Iter 8700, task hyperlinks, loss 0.5034728745619456, acc 0.84489, f1 0.40589, p 0.61084, r 0.30392
Iter 8800, task hyperlinks, loss 0.507054736216863, acc 0.84742, f1 0.40599, p 0.63212, r 0.29902
Iter 8900, task hyperlinks, loss 0.5052047868569692, acc 0.84700, f1 0.40924, p 0.62626, r 0.30392
Iter 9000, task hyperlinks, loss 0.4998671313126882, acc 0.84235, f1 0.42791, p 0.58228, r 0.33824
Iter 9100, task hyperlinks, loss 0.4996732374032338, acc 0.84193, f1 0.43769, p 0.57600, r 0.35294
Iter 9200, task hyperlinks, loss 0.497109979391098, acc 0.84784, f1 0.40468, p 0.63684, r 0.29657
Iter 9300, task hyperlinks, loss 0.49605292081832886, acc 0.84784, f1 0.43131, p 0.61927, r 0.33088
Iter 9400, task hyperlinks, loss 0.493293692668279, acc 0.83897, f1 0.43137, p 0.56078, r 0.35049
Iter 9500, task hyperlinks, loss 0.4950295885403951, acc 0.84700, f1 0.42812, p 0.61468, r 0.32843
Iter 9600, task hyperlinks, loss 0.4933222234249115, acc 0.84911, f1 0.43520, p 0.62673, r 0.33333
Iter 9700, task hyperlinks, loss 0.4956335226694743, acc 0.84446, f1 0.42947, p 0.59565, r 0.33578
Iter 9800, task hyperlinks, loss 0.49499980608622235, acc 0.84827, f1 0.42208, p 0.62500, r 0.31863
Iter 9900, task hyperlinks, loss 0.4931507110595703, acc 0.84531, f1 0.42289, p 0.60181, r 0.32598
Iter 10000, task hyperlinks, loss 0.49409977595011395, acc 0.84193, f1 0.41758, p 0.58079, r 0.32598
Iter 10100, task hyperlinks, loss 0.5020889441172282, acc 0.84911, f1 0.41128, p 0.63590, r 0.30392
Iter 10200, task hyperlinks, loss 0.49531569083531696, acc 0.85123, f1 0.41345, p 0.65775, r 0.30147
Iter 10300, task hyperlinks, loss 0.4943932096163432, acc 0.84742, f1 0.41883, p 0.62019, r 0.31618
Iter 10400, task hyperlinks, loss 0.49860869844754535, acc 0.84827, f1 0.42020, p 0.62621, r 0.31618
Iter 10500, task hyperlinks, loss 0.4981868962446849, acc 0.85038, f1 0.41914, p 0.64141, r 0.31127
Iter 10600, task hyperlinks, loss 0.4927402436733246, acc 0.84404, f1 0.41720, p 0.59545, r 0.32108
Iter 10700, task hyperlinks, loss 0.49423672755559284, acc 0.84827, f1 0.42139, p 0.62201, r 0.31863
Iter 10800, task hyperlinks, loss 0.4888115922609965, acc 0.84362, f1 0.42022, p 0.59111, r 0.32598
Iter 10900, task hyperlinks, loss 0.4909721414248149, acc 0.84108, f1 0.41444, p 0.57642, r 0.32353
Iter 11000, task hyperlinks, loss 0.4929346243540446, acc 0.84531, f1 0.41734, p 0.60465, r 0.31863
